Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,,string,10,22868 - LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,22868,LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,DPP interface tags delete,Event,switch-controller,Information,7.4.0
time,,string,8,22868 - LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,22868,LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,DPP interface tags delete,Event,switch-controller,Information,7.4.0
logid,,string,10,22868 - LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,22868,LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,DPP interface tags delete,Event,switch-controller,Information,7.4.0
type,,string,16,22868 - LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,22868,LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,DPP interface tags delete,Event,switch-controller,Information,7.4.0
subtype,,string,20,22868 - LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,22868,LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,DPP interface tags delete,Event,switch-controller,Information,7.4.0
level,,string,11,22868 - LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,22868,LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,DPP interface tags delete,Event,switch-controller,Information,7.4.0
devid,,string,16,22868 - LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,22868,LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,DPP interface tags delete,Event,switch-controller,Information,7.4.0
vd,,string,32,22868 - LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,22868,LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,DPP interface tags delete,Event,switch-controller,Information,7.4.0
eventtime,,uint64,20,22868 - LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,22868,LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,DPP interface tags delete,Event,switch-controller,Information,7.4.0
tz,,string,5,22868 - LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,22868,LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,DPP interface tags delete,Event,switch-controller,Information,7.4.0
logdesc,,string,4096,22868 - LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,22868,LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,DPP interface tags delete,Event,switch-controller,Information,7.4.0
user,,string,256,22868 - LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,22868,LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,DPP interface tags delete,Event,switch-controller,Information,7.4.0
ui,,string,64,22868 - LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,22868,LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,DPP interface tags delete,Event,switch-controller,Information,7.4.0
action,,string,65,22868 - LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,22868,LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,DPP interface tags delete,Event,switch-controller,Information,7.4.0
msg,,string,4096,22868 - LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,22868,LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,DPP interface tags delete,Event,switch-controller,Information,7.4.0
name,,string,128,22868 - LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,22868,LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,DPP interface tags delete,Event,switch-controller,Information,7.4.0
sn,,string,64,22868 - LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,22868,LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,DPP interface tags delete,Event,switch-controller,Information,7.4.0
