Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,22929 - LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,22929,LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,SDWAN Neighbor secondary,Event,sdwan,Warning,7.2.7
time,Time,string,8,22929 - LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,22929,LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,SDWAN Neighbor secondary,Event,sdwan,Warning,7.2.7
logid,Log ID,string,10,22929 - LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,22929,LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,SDWAN Neighbor secondary,Event,sdwan,Warning,7.2.7
type,Log Type,string,16,22929 - LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,22929,LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,SDWAN Neighbor secondary,Event,sdwan,Warning,7.2.7
subtype,Log Subtype,string,20,22929 - LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,22929,LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,SDWAN Neighbor secondary,Event,sdwan,Warning,7.2.7
level,Log Level,string,11,22929 - LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,22929,LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,SDWAN Neighbor secondary,Event,sdwan,Warning,7.2.7
devid,Device ID,string,16,22929 - LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,22929,LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,SDWAN Neighbor secondary,Event,sdwan,Warning,7.2.7
vd,Virtual Domain Name,string,32,22929 - LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,22929,LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,SDWAN Neighbor secondary,Event,sdwan,Warning,7.2.7
eventtime,Event time,uint64,20,22929 - LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,22929,LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,SDWAN Neighbor secondary,Event,sdwan,Warning,7.2.7
tz,Time zone,string,5,22929 - LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,22929,LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,SDWAN Neighbor secondary,Event,sdwan,Warning,7.2.7
logdesc,Log Description,string,4096,22929 - LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,22929,LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,SDWAN Neighbor secondary,Event,sdwan,Warning,7.2.7
eventtype,,string,32,22929 - LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,22929,LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,SDWAN Neighbor secondary,Event,sdwan,Warning,7.2.7
oldvalue,,string,32,22929 - LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,22929,LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,SDWAN Neighbor secondary,Event,sdwan,Warning,7.2.7
newvalue,,string,32,22929 - LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,22929,LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,SDWAN Neighbor secondary,Event,sdwan,Warning,7.2.7
msg,Log Message,string,4096,22929 - LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,22929,LOG_ID_EVENT_VWL_NEIGHBOR_SECONDARY,SDWAN Neighbor secondary,Event,sdwan,Warning,7.2.7
