Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,,string,10,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.2.4
time,,string,8,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.2.4
logid,,string,10,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.2.4
type,,string,16,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.2.4
subtype,,string,20,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.2.4
level,,string,11,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.2.4
devid,,string,16,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.2.4
vd,,string,32,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.2.4
eventtime,,uint64,20,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.2.4
tz,,string,5,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.2.4
logdesc,,string,4096,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.2.4
user,,string,256,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.2.4
ui,,string,64,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.2.4
msg,,string,4096,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.2.4
sn,,string,64,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.2.4
name,,string,128,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.2.4
cfgtid,,uint32,10,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.2.4
cfgpath,,string,128,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.2.4
cfgobj,,string,256,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.2.4
cfgattr,,string,4096,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.2.4
