Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.2.10
time,Time,string,8,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.2.10
logid,Log ID,string,10,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.2.10
type,Log Type,string,16,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.2.10
subtype,Log Subtype,string,20,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.2.10
level,Log Level,string,11,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.2.10
devid,Device ID,string,16,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.2.10
vd,Virtual Domain Name,string,32,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.2.10
eventtime,Event time,uint64,20,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.2.10
tz,Time zone,string,5,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.2.10
logdesc,Log Description,string,4096,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.2.10
action,Policy Action,string,65,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.2.10
msg,Log Message,string,4096,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.2.10
ssid,WiFi Service Set ID,string,33,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.2.10
radioband,The operating radio band,string,64,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.2.10
channel,Channel,uint8,3,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.2.10
security,Security,string,40,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.2.10
encryption,The encryption type of detected rogue AP,string,12,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.2.10
signal,The signal value of SSID or client,int8,4,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.2.10
stamac,The MAC address of wifi station,string,17,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.2.10
sn,Serial Number,string,64,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.2.10
