Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,39941 - LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,39941,LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,SSL VPN system busy,Event,vpn,Information,7.6.0
time,Time,string,8,39941 - LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,39941,LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,SSL VPN system busy,Event,vpn,Information,7.6.0
logid,Log ID,string,10,39941 - LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,39941,LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,SSL VPN system busy,Event,vpn,Information,7.6.0
type,Log Type,string,16,39941 - LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,39941,LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,SSL VPN system busy,Event,vpn,Information,7.6.0
subtype,Log Subtype,string,20,39941 - LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,39941,LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,SSL VPN system busy,Event,vpn,Information,7.6.0
level,Log Level,string,11,39941 - LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,39941,LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,SSL VPN system busy,Event,vpn,Information,7.6.0
devid,Device ID,string,16,39941 - LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,39941,LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,SSL VPN system busy,Event,vpn,Information,7.6.0
vd,Virtual Domain Name,string,32,39941 - LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,39941,LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,SSL VPN system busy,Event,vpn,Information,7.6.0
eventtime,Event time,uint64,20,39941 - LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,39941,LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,SSL VPN system busy,Event,vpn,Information,7.6.0
tz,Time zone,string,5,39941 - LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,39941,LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,SSL VPN system busy,Event,vpn,Information,7.6.0
logdesc,Log Description,string,4096,39941 - LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,39941,LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,SSL VPN system busy,Event,vpn,Information,7.6.0
action,Policy Action,string,65,39941 - LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,39941,LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,SSL VPN system busy,Event,vpn,Information,7.6.0
tunnelid,IPsec VPN tunnel ID,uint32,10,39941 - LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,39941,LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,SSL VPN system busy,Event,vpn,Information,7.6.0
tunneltype,IPsec VPN tunnel type,string,64,39941 - LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,39941,LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,SSL VPN system busy,Event,vpn,Information,7.6.0
remip,IPsec VPN remote gateway IP address,ip,39,39941 - LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,39941,LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,SSL VPN system busy,Event,vpn,Information,7.6.0
user,User name of authenticated user,string,256,39941 - LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,39941,LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,SSL VPN system busy,Event,vpn,Information,7.6.0
group,User group Name,string,512,39941 - LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,39941,LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,SSL VPN system busy,Event,vpn,Information,7.6.0
msg,Log Message,string,4096,39941 - LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,39941,LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,SSL VPN system busy,Event,vpn,Information,7.6.0
srccountry,,string,64,39941 - LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,39941,LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,SSL VPN system busy,Event,vpn,Information,7.6.0
fctuid,,string,32,39941 - LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,39941,LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,SSL VPN system busy,Event,vpn,Information,7.6.0
reason,Reason,string,256,39941 - LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,39941,LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,SSL VPN system busy,Event,vpn,Information,7.6.0
dst_host,Destination Host,string,64,39941 - LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,39941,LOG_ID_EVENT_SSL_VPN_SESSION_SYS_BUSY,SSL VPN system busy,Event,vpn,Information,7.6.0
