Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,38410 - LOGID_EVENT_OFTP_SSL_FAILED,38410,LOGID_EVENT_OFTP_SSL_FAILED,SSL connection failed,Event,system,Information,7.2.9
time,Time,string,8,38410 - LOGID_EVENT_OFTP_SSL_FAILED,38410,LOGID_EVENT_OFTP_SSL_FAILED,SSL connection failed,Event,system,Information,7.2.9
logid,Log ID,string,10,38410 - LOGID_EVENT_OFTP_SSL_FAILED,38410,LOGID_EVENT_OFTP_SSL_FAILED,SSL connection failed,Event,system,Information,7.2.9
type,Log Type,string,16,38410 - LOGID_EVENT_OFTP_SSL_FAILED,38410,LOGID_EVENT_OFTP_SSL_FAILED,SSL connection failed,Event,system,Information,7.2.9
subtype,Log Subtype,string,20,38410 - LOGID_EVENT_OFTP_SSL_FAILED,38410,LOGID_EVENT_OFTP_SSL_FAILED,SSL connection failed,Event,system,Information,7.2.9
level,Log Level,string,11,38410 - LOGID_EVENT_OFTP_SSL_FAILED,38410,LOGID_EVENT_OFTP_SSL_FAILED,SSL connection failed,Event,system,Information,7.2.9
devid,Device ID,string,16,38410 - LOGID_EVENT_OFTP_SSL_FAILED,38410,LOGID_EVENT_OFTP_SSL_FAILED,SSL connection failed,Event,system,Information,7.2.9
vd,Virtual Domain Name,string,32,38410 - LOGID_EVENT_OFTP_SSL_FAILED,38410,LOGID_EVENT_OFTP_SSL_FAILED,SSL connection failed,Event,system,Information,7.2.9
eventtime,Event time,uint64,20,38410 - LOGID_EVENT_OFTP_SSL_FAILED,38410,LOGID_EVENT_OFTP_SSL_FAILED,SSL connection failed,Event,system,Information,7.2.9
tz,Time zone,string,5,38410 - LOGID_EVENT_OFTP_SSL_FAILED,38410,LOGID_EVENT_OFTP_SSL_FAILED,SSL connection failed,Event,system,Information,7.2.9
logdesc,Log Description,string,4096,38410 - LOGID_EVENT_OFTP_SSL_FAILED,38410,LOGID_EVENT_OFTP_SSL_FAILED,SSL connection failed,Event,system,Information,7.2.9
action,Policy Action,string,65,38410 - LOGID_EVENT_OFTP_SSL_FAILED,38410,LOGID_EVENT_OFTP_SSL_FAILED,SSL connection failed,Event,system,Information,7.2.9
status,Status,string,23,38410 - LOGID_EVENT_OFTP_SSL_FAILED,38410,LOGID_EVENT_OFTP_SSL_FAILED,SSL connection failed,Event,system,Information,7.2.9
msg,Log Message,string,4096,38410 - LOGID_EVENT_OFTP_SSL_FAILED,38410,LOGID_EVENT_OFTP_SSL_FAILED,SSL connection failed,Event,system,Information,7.2.9
dstip,Destination IP,ip,39,38410 - LOGID_EVENT_OFTP_SSL_FAILED,38410,LOGID_EVENT_OFTP_SSL_FAILED,SSL connection failed,Event,system,Information,7.2.9
dstport,Destination Protocol Port,uint16,5,38410 - LOGID_EVENT_OFTP_SSL_FAILED,38410,LOGID_EVENT_OFTP_SSL_FAILED,SSL connection failed,Event,system,Information,7.2.9
reason,Reason,string,256,38410 - LOGID_EVENT_OFTP_SSL_FAILED,38410,LOGID_EVENT_OFTP_SSL_FAILED,SSL connection failed,Event,system,Information,7.2.9
