Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,"The status of the session:
 pass - Application is allowed
 block - Application is blocked (silent)
 reject - Quarantine
 reset - Application is blocked and Reset was sent
Sometimes, there is a block page for blocking",string,16,28674 - LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),APP-CTRL,signature,Information,7.2.9
app,Application name,string,96,28674 - LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),APP-CTRL,signature,Information,7.2.9
appcat,Application category name,string,64,28674 - LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),APP-CTRL,signature,Information,7.2.9
applist,Application Control profile name,string,64,28674 - LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),APP-CTRL,signature,Information,7.2.9
authserver,Authentication server for the user,string,64,28674 - LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),APP-CTRL,signature,Information,7.2.9
date,Date,string,10,28674 - LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),APP-CTRL,signature,Information,7.2.9
devid,Deivce ID,string,16,28674 - LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),APP-CTRL,signature,Information,7.2.9
direction,Direction of the packets,string,8,28674 - LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),APP-CTRL,signature,Information,7.2.9
dstcountry,,string,64,28674 - LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),APP-CTRL,signature,Information,7.2.9
dstintf,Destination Interface,string,64,28674 - LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),APP-CTRL,signature,Information,7.2.9
dstintfrole,"Destination Interface's assigned role (LAN, WAN, etc.)",string,10,28674 - LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),APP-CTRL,signature,Information,7.2.9
dstip,Destination IP,ip,39,28674 - LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),APP-CTRL,signature,Information,7.2.9
dstport,Destination Port,uint16,5,28674 - LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),APP-CTRL,signature,Information,7.2.9
eventtime,Event Time,uint64,20,28674 - LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),APP-CTRL,signature,Information,7.2.9
eventtype,App Control Event Type,string,32,28674 - LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),APP-CTRL,signature,Information,7.2.9
fctuid,FortiClient User ID,string,32,28674 - LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),APP-CTRL,signature,Information,7.2.9
group,User group name,string,512,28674 - LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),APP-CTRL,signature,Information,7.2.9
level,Log level,string,11,28674 - LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),APP-CTRL,signature,Information,7.2.9
logid,Log ID,string,10,28674 - LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),APP-CTRL,signature,Information,7.2.9
