Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
name,,string,128,32601 - LOG_ID_FGT_SWITCH_LOG_DISCOVER,32601,LOG_ID_FGT_SWITCH_LOG_DISCOVER,Switch-Controller discovered,Event,switch-controller,Information,7.2.11
sn,,string,64,32601 - LOG_ID_FGT_SWITCH_LOG_DISCOVER,32601,LOG_ID_FGT_SWITCH_LOG_DISCOVER,Switch-Controller discovered,Event,switch-controller,Information,7.2.11
msg,,string,4096,32601 - LOG_ID_FGT_SWITCH_LOG_DISCOVER,32601,LOG_ID_FGT_SWITCH_LOG_DISCOVER,Switch-Controller discovered,Event,switch-controller,Information,7.2.11
ui,,string,64,32601 - LOG_ID_FGT_SWITCH_LOG_DISCOVER,32601,LOG_ID_FGT_SWITCH_LOG_DISCOVER,Switch-Controller discovered,Event,switch-controller,Information,7.2.11
user,,string,256,32601 - LOG_ID_FGT_SWITCH_LOG_DISCOVER,32601,LOG_ID_FGT_SWITCH_LOG_DISCOVER,Switch-Controller discovered,Event,switch-controller,Information,7.2.11
logdesc,,string,4096,32601 - LOG_ID_FGT_SWITCH_LOG_DISCOVER,32601,LOG_ID_FGT_SWITCH_LOG_DISCOVER,Switch-Controller discovered,Event,switch-controller,Information,7.2.11
tz,,string,5,32601 - LOG_ID_FGT_SWITCH_LOG_DISCOVER,32601,LOG_ID_FGT_SWITCH_LOG_DISCOVER,Switch-Controller discovered,Event,switch-controller,Information,7.2.11
eventtime,,uint64,20,32601 - LOG_ID_FGT_SWITCH_LOG_DISCOVER,32601,LOG_ID_FGT_SWITCH_LOG_DISCOVER,Switch-Controller discovered,Event,switch-controller,Information,7.2.11
vd,,string,32,32601 - LOG_ID_FGT_SWITCH_LOG_DISCOVER,32601,LOG_ID_FGT_SWITCH_LOG_DISCOVER,Switch-Controller discovered,Event,switch-controller,Information,7.2.11
devid,,string,16,32601 - LOG_ID_FGT_SWITCH_LOG_DISCOVER,32601,LOG_ID_FGT_SWITCH_LOG_DISCOVER,Switch-Controller discovered,Event,switch-controller,Information,7.2.11
level,,string,11,32601 - LOG_ID_FGT_SWITCH_LOG_DISCOVER,32601,LOG_ID_FGT_SWITCH_LOG_DISCOVER,Switch-Controller discovered,Event,switch-controller,Information,7.2.11
subtype,,string,20,32601 - LOG_ID_FGT_SWITCH_LOG_DISCOVER,32601,LOG_ID_FGT_SWITCH_LOG_DISCOVER,Switch-Controller discovered,Event,switch-controller,Information,7.2.11
type,,string,16,32601 - LOG_ID_FGT_SWITCH_LOG_DISCOVER,32601,LOG_ID_FGT_SWITCH_LOG_DISCOVER,Switch-Controller discovered,Event,switch-controller,Information,7.2.11
logid,,string,10,32601 - LOG_ID_FGT_SWITCH_LOG_DISCOVER,32601,LOG_ID_FGT_SWITCH_LOG_DISCOVER,Switch-Controller discovered,Event,switch-controller,Information,7.2.11
time,,string,8,32601 - LOG_ID_FGT_SWITCH_LOG_DISCOVER,32601,LOG_ID_FGT_SWITCH_LOG_DISCOVER,Switch-Controller discovered,Event,switch-controller,Information,7.2.11
date,,string,10,32601 - LOG_ID_FGT_SWITCH_LOG_DISCOVER,32601,LOG_ID_FGT_SWITCH_LOG_DISCOVER,Switch-Controller discovered,Event,switch-controller,Information,7.2.11
