Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
msg,Log Message,string,4096,53314 - LOG_ID_NPD_ERROR,53314,LOG_ID_NPD_ERROR,NPD ERROR MSG,Event,system,Error,7.2.11
logdesc,Log Description,string,4096,53314 - LOG_ID_NPD_ERROR,53314,LOG_ID_NPD_ERROR,NPD ERROR MSG,Event,system,Error,7.2.11
tz,Time zone,string,5,53314 - LOG_ID_NPD_ERROR,53314,LOG_ID_NPD_ERROR,NPD ERROR MSG,Event,system,Error,7.2.11
eventtime,Event time,uint64,20,53314 - LOG_ID_NPD_ERROR,53314,LOG_ID_NPD_ERROR,NPD ERROR MSG,Event,system,Error,7.2.11
vd,Virtual Domain Name,string,32,53314 - LOG_ID_NPD_ERROR,53314,LOG_ID_NPD_ERROR,NPD ERROR MSG,Event,system,Error,7.2.11
devid,Device ID,string,16,53314 - LOG_ID_NPD_ERROR,53314,LOG_ID_NPD_ERROR,NPD ERROR MSG,Event,system,Error,7.2.11
level,Log Level,string,11,53314 - LOG_ID_NPD_ERROR,53314,LOG_ID_NPD_ERROR,NPD ERROR MSG,Event,system,Error,7.2.11
subtype,Log Subtype,string,20,53314 - LOG_ID_NPD_ERROR,53314,LOG_ID_NPD_ERROR,NPD ERROR MSG,Event,system,Error,7.2.11
type,Log Type,string,16,53314 - LOG_ID_NPD_ERROR,53314,LOG_ID_NPD_ERROR,NPD ERROR MSG,Event,system,Error,7.2.11
logid,Log ID,string,10,53314 - LOG_ID_NPD_ERROR,53314,LOG_ID_NPD_ERROR,NPD ERROR MSG,Event,system,Error,7.2.11
time,Time,string,8,53314 - LOG_ID_NPD_ERROR,53314,LOG_ID_NPD_ERROR,NPD ERROR MSG,Event,system,Error,7.2.11
date,Date,string,10,53314 - LOG_ID_NPD_ERROR,53314,LOG_ID_NPD_ERROR,NPD ERROR MSG,Event,system,Error,7.2.11
