Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,22937 - LOG_ID_EVENT_VWL_APP_PERF_METRICS,22937,LOG_ID_EVENT_VWL_APP_PERF_METRICS,SDWAN application performance metrics via FortiMonitor,Event,sdwan,Information,7.4.4
time,Time,string,8,22937 - LOG_ID_EVENT_VWL_APP_PERF_METRICS,22937,LOG_ID_EVENT_VWL_APP_PERF_METRICS,SDWAN application performance metrics via FortiMonitor,Event,sdwan,Information,7.4.4
logid,Log ID,string,10,22937 - LOG_ID_EVENT_VWL_APP_PERF_METRICS,22937,LOG_ID_EVENT_VWL_APP_PERF_METRICS,SDWAN application performance metrics via FortiMonitor,Event,sdwan,Information,7.4.4
type,Log Type,string,16,22937 - LOG_ID_EVENT_VWL_APP_PERF_METRICS,22937,LOG_ID_EVENT_VWL_APP_PERF_METRICS,SDWAN application performance metrics via FortiMonitor,Event,sdwan,Information,7.4.4
subtype,Log Subtype,string,20,22937 - LOG_ID_EVENT_VWL_APP_PERF_METRICS,22937,LOG_ID_EVENT_VWL_APP_PERF_METRICS,SDWAN application performance metrics via FortiMonitor,Event,sdwan,Information,7.4.4
level,Log Level,string,11,22937 - LOG_ID_EVENT_VWL_APP_PERF_METRICS,22937,LOG_ID_EVENT_VWL_APP_PERF_METRICS,SDWAN application performance metrics via FortiMonitor,Event,sdwan,Information,7.4.4
devid,Device ID,string,16,22937 - LOG_ID_EVENT_VWL_APP_PERF_METRICS,22937,LOG_ID_EVENT_VWL_APP_PERF_METRICS,SDWAN application performance metrics via FortiMonitor,Event,sdwan,Information,7.4.4
vd,Virtual Domain Name,string,32,22937 - LOG_ID_EVENT_VWL_APP_PERF_METRICS,22937,LOG_ID_EVENT_VWL_APP_PERF_METRICS,SDWAN application performance metrics via FortiMonitor,Event,sdwan,Information,7.4.4
eventtime,Event time,uint64,20,22937 - LOG_ID_EVENT_VWL_APP_PERF_METRICS,22937,LOG_ID_EVENT_VWL_APP_PERF_METRICS,SDWAN application performance metrics via FortiMonitor,Event,sdwan,Information,7.4.4
tz,Time zone,string,5,22937 - LOG_ID_EVENT_VWL_APP_PERF_METRICS,22937,LOG_ID_EVENT_VWL_APP_PERF_METRICS,SDWAN application performance metrics via FortiMonitor,Event,sdwan,Information,7.4.4
logdesc,Log Description,string,4096,22937 - LOG_ID_EVENT_VWL_APP_PERF_METRICS,22937,LOG_ID_EVENT_VWL_APP_PERF_METRICS,SDWAN application performance metrics via FortiMonitor,Event,sdwan,Information,7.4.4
eventtype,,string,48,22937 - LOG_ID_EVENT_VWL_APP_PERF_METRICS,22937,LOG_ID_EVENT_VWL_APP_PERF_METRICS,SDWAN application performance metrics via FortiMonitor,Event,sdwan,Information,7.4.4
interface,Interface,string,32,22937 - LOG_ID_EVENT_VWL_APP_PERF_METRICS,22937,LOG_ID_EVENT_VWL_APP_PERF_METRICS,SDWAN application performance metrics via FortiMonitor,Event,sdwan,Information,7.4.4
msg,Log Message,string,4096,22937 - LOG_ID_EVENT_VWL_APP_PERF_METRICS,22937,LOG_ID_EVENT_VWL_APP_PERF_METRICS,SDWAN application performance metrics via FortiMonitor,Event,sdwan,Information,7.4.4
latency,,string,24,22937 - LOG_ID_EVENT_VWL_APP_PERF_METRICS,22937,LOG_ID_EVENT_VWL_APP_PERF_METRICS,SDWAN application performance metrics via FortiMonitor,Event,sdwan,Information,7.4.4
jitter,,string,24,22937 - LOG_ID_EVENT_VWL_APP_PERF_METRICS,22937,LOG_ID_EVENT_VWL_APP_PERF_METRICS,SDWAN application performance metrics via FortiMonitor,Event,sdwan,Information,7.4.4
packetloss,,string,24,22937 - LOG_ID_EVENT_VWL_APP_PERF_METRICS,22937,LOG_ID_EVENT_VWL_APP_PERF_METRICS,SDWAN application performance metrics via FortiMonitor,Event,sdwan,Information,7.4.4
app,,string,80,22937 - LOG_ID_EVENT_VWL_APP_PERF_METRICS,22937,LOG_ID_EVENT_VWL_APP_PERF_METRICS,SDWAN application performance metrics via FortiMonitor,Event,sdwan,Information,7.4.4
appid,,uint32,10,22937 - LOG_ID_EVENT_VWL_APP_PERF_METRICS,22937,LOG_ID_EVENT_VWL_APP_PERF_METRICS,SDWAN application performance metrics via FortiMonitor,Event,sdwan,Information,7.4.4
serverresponsetime,,string,24,22937 - LOG_ID_EVENT_VWL_APP_PERF_METRICS,22937,LOG_ID_EVENT_VWL_APP_PERF_METRICS,SDWAN application performance metrics via FortiMonitor,Event,sdwan,Information,7.4.4
networktransfertime,,string,24,22937 - LOG_ID_EVENT_VWL_APP_PERF_METRICS,22937,LOG_ID_EVENT_VWL_APP_PERF_METRICS,SDWAN application performance metrics via FortiMonitor,Event,sdwan,Information,7.4.4
apperror,,string,24,22937 - LOG_ID_EVENT_VWL_APP_PERF_METRICS,22937,LOG_ID_EVENT_VWL_APP_PERF_METRICS,SDWAN application performance metrics via FortiMonitor,Event,sdwan,Information,7.4.4
timestamp,,string,24,22937 - LOG_ID_EVENT_VWL_APP_PERF_METRICS,22937,LOG_ID_EVENT_VWL_APP_PERF_METRICS,SDWAN application performance metrics via FortiMonitor,Event,sdwan,Information,7.4.4
