Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,53400 - LOG_ID_FMG_TUNNEL_UP,53400,LOG_ID_FMG_TUNNEL_UP,Central Management connectivity is active,Event,system,Notice,7.4.4
time,Time,string,8,53400 - LOG_ID_FMG_TUNNEL_UP,53400,LOG_ID_FMG_TUNNEL_UP,Central Management connectivity is active,Event,system,Notice,7.4.4
logid,Log ID,string,10,53400 - LOG_ID_FMG_TUNNEL_UP,53400,LOG_ID_FMG_TUNNEL_UP,Central Management connectivity is active,Event,system,Notice,7.4.4
type,Log Type,string,16,53400 - LOG_ID_FMG_TUNNEL_UP,53400,LOG_ID_FMG_TUNNEL_UP,Central Management connectivity is active,Event,system,Notice,7.4.4
subtype,Log Subtype,string,20,53400 - LOG_ID_FMG_TUNNEL_UP,53400,LOG_ID_FMG_TUNNEL_UP,Central Management connectivity is active,Event,system,Notice,7.4.4
level,Log Level,string,11,53400 - LOG_ID_FMG_TUNNEL_UP,53400,LOG_ID_FMG_TUNNEL_UP,Central Management connectivity is active,Event,system,Notice,7.4.4
devid,Device ID,string,16,53400 - LOG_ID_FMG_TUNNEL_UP,53400,LOG_ID_FMG_TUNNEL_UP,Central Management connectivity is active,Event,system,Notice,7.4.4
vd,Virtual Domain Name,string,32,53400 - LOG_ID_FMG_TUNNEL_UP,53400,LOG_ID_FMG_TUNNEL_UP,Central Management connectivity is active,Event,system,Notice,7.4.4
eventtime,Event time,uint64,20,53400 - LOG_ID_FMG_TUNNEL_UP,53400,LOG_ID_FMG_TUNNEL_UP,Central Management connectivity is active,Event,system,Notice,7.4.4
tz,Time zone,string,5,53400 - LOG_ID_FMG_TUNNEL_UP,53400,LOG_ID_FMG_TUNNEL_UP,Central Management connectivity is active,Event,system,Notice,7.4.4
logdesc,Log Description,string,4096,53400 - LOG_ID_FMG_TUNNEL_UP,53400,LOG_ID_FMG_TUNNEL_UP,Central Management connectivity is active,Event,system,Notice,7.4.4
action,Policy Action,string,65,53400 - LOG_ID_FMG_TUNNEL_UP,53400,LOG_ID_FMG_TUNNEL_UP,Central Management connectivity is active,Event,system,Notice,7.4.4
status,Status,string,23,53400 - LOG_ID_FMG_TUNNEL_UP,53400,LOG_ID_FMG_TUNNEL_UP,Central Management connectivity is active,Event,system,Notice,7.4.4
msg,Log Message,string,4096,53400 - LOG_ID_FMG_TUNNEL_UP,53400,LOG_ID_FMG_TUNNEL_UP,Central Management connectivity is active,Event,system,Notice,7.4.4
