Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,,string,10,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.4
time,,string,8,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.4
logid,,string,10,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.4
type,,string,16,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.4
subtype,,string,20,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.4
level,,string,11,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.4
devid,,string,16,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.4
vd,,string,32,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.4
eventtime,,uint64,20,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.4
tz,,string,5,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.4
logdesc,,string,4096,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.4
user,,string,256,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.4
ui,,string,64,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.4
msg,,string,4096,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.4
