Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
mac,MAC Address,string,17,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.9
server,AD server FQDN or IP,string,64,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.9
remotewtptime,The time of AP when client trying to connect,string,32,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.9
snprev,,string,36,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.9
vap,Virtual Access Point,string,36,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.9
ap,Access Point,string,36,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.9
sn,Serial Number,string,64,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.9
stamac,The MAC address of wifi station,string,17,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.9
encryption,The encryption type of detected rogue AP,string,12,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.9
security,Security,string,40,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.9
ssid,WiFi Service Set ID,string,33,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.9
msg,Log Message,string,4096,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.9
action,Policy Action,string,65,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.9
logdesc,Log Description,string,4096,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.9
tz,Time zone,string,5,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.9
eventtime,Event time,uint64,20,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.9
vd,Virtual Domain Name,string,32,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.9
devid,Device ID,string,16,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.9
level,Log Level,string,11,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.9
subtype,Log Subtype,string,20,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.9
type,Log Type,string,16,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.9
logid,Log ID,string,10,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.9
time,Time,string,8,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.9
date,Date,string,10,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.9
