Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
hostname,Hostname,string,128,38404 - LOGID_EVENT_NOTIF_HOSTNAME_ERROR,38404,LOGID_EVENT_NOTIF_HOSTNAME_ERROR,FortiGuard hostname unresolvable,Event,system,Error,7.4.9
msg,Log Message,string,4096,38404 - LOGID_EVENT_NOTIF_HOSTNAME_ERROR,38404,LOGID_EVENT_NOTIF_HOSTNAME_ERROR,FortiGuard hostname unresolvable,Event,system,Error,7.4.9
logdesc,Log Description,string,4096,38404 - LOGID_EVENT_NOTIF_HOSTNAME_ERROR,38404,LOGID_EVENT_NOTIF_HOSTNAME_ERROR,FortiGuard hostname unresolvable,Event,system,Error,7.4.9
tz,Time zone,string,5,38404 - LOGID_EVENT_NOTIF_HOSTNAME_ERROR,38404,LOGID_EVENT_NOTIF_HOSTNAME_ERROR,FortiGuard hostname unresolvable,Event,system,Error,7.4.9
eventtime,Event time,uint64,20,38404 - LOGID_EVENT_NOTIF_HOSTNAME_ERROR,38404,LOGID_EVENT_NOTIF_HOSTNAME_ERROR,FortiGuard hostname unresolvable,Event,system,Error,7.4.9
vd,Virtual Domain Name,string,32,38404 - LOGID_EVENT_NOTIF_HOSTNAME_ERROR,38404,LOGID_EVENT_NOTIF_HOSTNAME_ERROR,FortiGuard hostname unresolvable,Event,system,Error,7.4.9
devid,Device ID,string,16,38404 - LOGID_EVENT_NOTIF_HOSTNAME_ERROR,38404,LOGID_EVENT_NOTIF_HOSTNAME_ERROR,FortiGuard hostname unresolvable,Event,system,Error,7.4.9
level,Log Level,string,11,38404 - LOGID_EVENT_NOTIF_HOSTNAME_ERROR,38404,LOGID_EVENT_NOTIF_HOSTNAME_ERROR,FortiGuard hostname unresolvable,Event,system,Error,7.4.9
subtype,Log Subtype,string,20,38404 - LOGID_EVENT_NOTIF_HOSTNAME_ERROR,38404,LOGID_EVENT_NOTIF_HOSTNAME_ERROR,FortiGuard hostname unresolvable,Event,system,Error,7.4.9
type,Log Type,string,16,38404 - LOGID_EVENT_NOTIF_HOSTNAME_ERROR,38404,LOGID_EVENT_NOTIF_HOSTNAME_ERROR,FortiGuard hostname unresolvable,Event,system,Error,7.4.9
logid,Log ID,string,10,38404 - LOGID_EVENT_NOTIF_HOSTNAME_ERROR,38404,LOGID_EVENT_NOTIF_HOSTNAME_ERROR,FortiGuard hostname unresolvable,Event,system,Error,7.4.9
time,Time,string,8,38404 - LOGID_EVENT_NOTIF_HOSTNAME_ERROR,38404,LOGID_EVENT_NOTIF_HOSTNAME_ERROR,FortiGuard hostname unresolvable,Event,system,Error,7.4.9
date,Date,string,10,38404 - LOGID_EVENT_NOTIF_HOSTNAME_ERROR,38404,LOGID_EVENT_NOTIF_HOSTNAME_ERROR,FortiGuard hostname unresolvable,Event,system,Error,7.4.9
