Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,,string,10,32617 - LOG_ID_FGT_SWITCH_MAC_MOVE,32617,LOG_ID_FGT_SWITCH_MAC_MOVE,FortiSwitch MAC move,Event,switch-controller,Information,7.4.3
time,,string,8,32617 - LOG_ID_FGT_SWITCH_MAC_MOVE,32617,LOG_ID_FGT_SWITCH_MAC_MOVE,FortiSwitch MAC move,Event,switch-controller,Information,7.4.3
logid,,string,10,32617 - LOG_ID_FGT_SWITCH_MAC_MOVE,32617,LOG_ID_FGT_SWITCH_MAC_MOVE,FortiSwitch MAC move,Event,switch-controller,Information,7.4.3
type,,string,16,32617 - LOG_ID_FGT_SWITCH_MAC_MOVE,32617,LOG_ID_FGT_SWITCH_MAC_MOVE,FortiSwitch MAC move,Event,switch-controller,Information,7.4.3
subtype,,string,20,32617 - LOG_ID_FGT_SWITCH_MAC_MOVE,32617,LOG_ID_FGT_SWITCH_MAC_MOVE,FortiSwitch MAC move,Event,switch-controller,Information,7.4.3
level,,string,11,32617 - LOG_ID_FGT_SWITCH_MAC_MOVE,32617,LOG_ID_FGT_SWITCH_MAC_MOVE,FortiSwitch MAC move,Event,switch-controller,Information,7.4.3
devid,,string,16,32617 - LOG_ID_FGT_SWITCH_MAC_MOVE,32617,LOG_ID_FGT_SWITCH_MAC_MOVE,FortiSwitch MAC move,Event,switch-controller,Information,7.4.3
vd,,string,32,32617 - LOG_ID_FGT_SWITCH_MAC_MOVE,32617,LOG_ID_FGT_SWITCH_MAC_MOVE,FortiSwitch MAC move,Event,switch-controller,Information,7.4.3
eventtime,,uint64,20,32617 - LOG_ID_FGT_SWITCH_MAC_MOVE,32617,LOG_ID_FGT_SWITCH_MAC_MOVE,FortiSwitch MAC move,Event,switch-controller,Information,7.4.3
tz,,string,5,32617 - LOG_ID_FGT_SWITCH_MAC_MOVE,32617,LOG_ID_FGT_SWITCH_MAC_MOVE,FortiSwitch MAC move,Event,switch-controller,Information,7.4.3
logdesc,,string,4096,32617 - LOG_ID_FGT_SWITCH_MAC_MOVE,32617,LOG_ID_FGT_SWITCH_MAC_MOVE,FortiSwitch MAC move,Event,switch-controller,Information,7.4.3
user,,string,256,32617 - LOG_ID_FGT_SWITCH_MAC_MOVE,32617,LOG_ID_FGT_SWITCH_MAC_MOVE,FortiSwitch MAC move,Event,switch-controller,Information,7.4.3
ui,,string,64,32617 - LOG_ID_FGT_SWITCH_MAC_MOVE,32617,LOG_ID_FGT_SWITCH_MAC_MOVE,FortiSwitch MAC move,Event,switch-controller,Information,7.4.3
msg,,string,4096,32617 - LOG_ID_FGT_SWITCH_MAC_MOVE,32617,LOG_ID_FGT_SWITCH_MAC_MOVE,FortiSwitch MAC move,Event,switch-controller,Information,7.4.3
name,,string,128,32617 - LOG_ID_FGT_SWITCH_MAC_MOVE,32617,LOG_ID_FGT_SWITCH_MAC_MOVE,FortiSwitch MAC move,Event,switch-controller,Information,7.4.3
sn,,string,64,32617 - LOG_ID_FGT_SWITCH_MAC_MOVE,32617,LOG_ID_FGT_SWITCH_MAC_MOVE,FortiSwitch MAC move,Event,switch-controller,Information,7.4.3
