Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,45128 - LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,45128,LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,EMS REST API recovered from an error,Event,endpoint,Information,7.4.3
time,Time,string,8,45128 - LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,45128,LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,EMS REST API recovered from an error,Event,endpoint,Information,7.4.3
logid,Log ID,string,10,45128 - LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,45128,LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,EMS REST API recovered from an error,Event,endpoint,Information,7.4.3
type,Log Type,string,16,45128 - LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,45128,LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,EMS REST API recovered from an error,Event,endpoint,Information,7.4.3
subtype,Log Subtype,string,20,45128 - LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,45128,LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,EMS REST API recovered from an error,Event,endpoint,Information,7.4.3
level,Log Level,string,11,45128 - LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,45128,LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,EMS REST API recovered from an error,Event,endpoint,Information,7.4.3
devid,Device ID,string,16,45128 - LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,45128,LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,EMS REST API recovered from an error,Event,endpoint,Information,7.4.3
vd,Virtual Domain Name,string,32,45128 - LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,45128,LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,EMS REST API recovered from an error,Event,endpoint,Information,7.4.3
eventtime,Event time,uint64,20,45128 - LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,45128,LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,EMS REST API recovered from an error,Event,endpoint,Information,7.4.3
tz,Time zone,string,5,45128 - LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,45128,LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,EMS REST API recovered from an error,Event,endpoint,Information,7.4.3
logdesc,Log Description,string,4096,45128 - LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,45128,LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,EMS REST API recovered from an error,Event,endpoint,Information,7.4.3
msg,Log Message,string,4096,45128 - LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,45128,LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,EMS REST API recovered from an error,Event,endpoint,Information,7.4.3
fctemssn,,string,16,45128 - LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,45128,LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,EMS REST API recovered from an error,Event,endpoint,Information,7.4.3
fctemsname,,string,36,45128 - LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,45128,LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,EMS REST API recovered from an error,Event,endpoint,Information,7.4.3
url,URL,string,512,45128 - LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,45128,LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,EMS REST API recovered from an error,Event,endpoint,Information,7.4.3
httpcode,,uint16,3,45128 - LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,45128,LOG_ID_EC_EMS_REST_API_NEW_SUCCESS,EMS REST API recovered from an error,Event,endpoint,Information,7.4.3
