Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,43710 - LOG_ID_EVENT_WIRELESS_SAM_IPERF,43710,LOG_ID_EVENT_WIRELESS_SAM_IPERF,SAM iperf test result,Event,wireless,Notice,7.2.2
time,Time,string,8,43710 - LOG_ID_EVENT_WIRELESS_SAM_IPERF,43710,LOG_ID_EVENT_WIRELESS_SAM_IPERF,SAM iperf test result,Event,wireless,Notice,7.2.2
logid,Log ID,string,10,43710 - LOG_ID_EVENT_WIRELESS_SAM_IPERF,43710,LOG_ID_EVENT_WIRELESS_SAM_IPERF,SAM iperf test result,Event,wireless,Notice,7.2.2
type,Log Type,string,16,43710 - LOG_ID_EVENT_WIRELESS_SAM_IPERF,43710,LOG_ID_EVENT_WIRELESS_SAM_IPERF,SAM iperf test result,Event,wireless,Notice,7.2.2
subtype,Log Subtype,string,20,43710 - LOG_ID_EVENT_WIRELESS_SAM_IPERF,43710,LOG_ID_EVENT_WIRELESS_SAM_IPERF,SAM iperf test result,Event,wireless,Notice,7.2.2
level,Log Level,string,11,43710 - LOG_ID_EVENT_WIRELESS_SAM_IPERF,43710,LOG_ID_EVENT_WIRELESS_SAM_IPERF,SAM iperf test result,Event,wireless,Notice,7.2.2
devid,Device ID,string,16,43710 - LOG_ID_EVENT_WIRELESS_SAM_IPERF,43710,LOG_ID_EVENT_WIRELESS_SAM_IPERF,SAM iperf test result,Event,wireless,Notice,7.2.2
vd,Virtual Domain Name,string,32,43710 - LOG_ID_EVENT_WIRELESS_SAM_IPERF,43710,LOG_ID_EVENT_WIRELESS_SAM_IPERF,SAM iperf test result,Event,wireless,Notice,7.2.2
eventtime,Event time,uint64,20,43710 - LOG_ID_EVENT_WIRELESS_SAM_IPERF,43710,LOG_ID_EVENT_WIRELESS_SAM_IPERF,SAM iperf test result,Event,wireless,Notice,7.2.2
tz,Time zone,string,5,43710 - LOG_ID_EVENT_WIRELESS_SAM_IPERF,43710,LOG_ID_EVENT_WIRELESS_SAM_IPERF,SAM iperf test result,Event,wireless,Notice,7.2.2
logdesc,Log Description,string,4096,43710 - LOG_ID_EVENT_WIRELESS_SAM_IPERF,43710,LOG_ID_EVENT_WIRELESS_SAM_IPERF,SAM iperf test result,Event,wireless,Notice,7.2.2
action,Policy Action,string,65,43710 - LOG_ID_EVENT_WIRELESS_SAM_IPERF,43710,LOG_ID_EVENT_WIRELESS_SAM_IPERF,SAM iperf test result,Event,wireless,Notice,7.2.2
msg,Log Message,string,4096,43710 - LOG_ID_EVENT_WIRELESS_SAM_IPERF,43710,LOG_ID_EVENT_WIRELESS_SAM_IPERF,SAM iperf test result,Event,wireless,Notice,7.2.2
ssid,WiFi Service Set ID,string,33,43710 - LOG_ID_EVENT_WIRELESS_SAM_IPERF,43710,LOG_ID_EVENT_WIRELESS_SAM_IPERF,SAM iperf test result,Event,wireless,Notice,7.2.2
bssid,Basic service set ID,string,17,43710 - LOG_ID_EVENT_WIRELESS_SAM_IPERF,43710,LOG_ID_EVENT_WIRELESS_SAM_IPERF,SAM iperf test result,Event,wireless,Notice,7.2.2
channel,Channel,uint8,3,43710 - LOG_ID_EVENT_WIRELESS_SAM_IPERF,43710,LOG_ID_EVENT_WIRELESS_SAM_IPERF,SAM iperf test result,Event,wireless,Notice,7.2.2
security,Security,string,40,43710 - LOG_ID_EVENT_WIRELESS_SAM_IPERF,43710,LOG_ID_EVENT_WIRELESS_SAM_IPERF,SAM iperf test result,Event,wireless,Notice,7.2.2
encryption,The encryption type of detected rogue AP,string,12,43710 - LOG_ID_EVENT_WIRELESS_SAM_IPERF,43710,LOG_ID_EVENT_WIRELESS_SAM_IPERF,SAM iperf test result,Event,wireless,Notice,7.2.2
stamac,The MAC address of wifi station,string,17,43710 - LOG_ID_EVENT_WIRELESS_SAM_IPERF,43710,LOG_ID_EVENT_WIRELESS_SAM_IPERF,SAM iperf test result,Event,wireless,Notice,7.2.2
sn,Serial Number,string,64,43710 - LOG_ID_EVENT_WIRELESS_SAM_IPERF,43710,LOG_ID_EVENT_WIRELESS_SAM_IPERF,SAM iperf test result,Event,wireless,Notice,7.2.2
ap,Access Point,string,36,43710 - LOG_ID_EVENT_WIRELESS_SAM_IPERF,43710,LOG_ID_EVENT_WIRELESS_SAM_IPERF,SAM iperf test result,Event,wireless,Notice,7.2.2
vap,Virtual Access Point,string,36,43710 - LOG_ID_EVENT_WIRELESS_SAM_IPERF,43710,LOG_ID_EVENT_WIRELESS_SAM_IPERF,SAM iperf test result,Event,wireless,Notice,7.2.2
radioid,The operating radio ID,uint8,3,43710 - LOG_ID_EVENT_WIRELESS_SAM_IPERF,43710,LOG_ID_EVENT_WIRELESS_SAM_IPERF,SAM iperf test result,Event,wireless,Notice,7.2.2
remotewtptime,The time of AP when client trying to connect,string,32,43710 - LOG_ID_EVENT_WIRELESS_SAM_IPERF,43710,LOG_ID_EVENT_WIRELESS_SAM_IPERF,SAM iperf test result,Event,wireless,Notice,7.2.2
