Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
lease,DHCP lease time,uint32,10,26001 - LOG_ID_DHCP_ACK,26001,LOG_ID_DHCP_ACK,DHCP Ack log,Event,system,Information,7.4.11
dhcp_msg,DHCP Message,string,4096,26001 - LOG_ID_DHCP_ACK,26001,LOG_ID_DHCP_ACK,DHCP Ack log,Event,system,Information,7.4.11
hostname,Hostname,string,128,26001 - LOG_ID_DHCP_ACK,26001,LOG_ID_DHCP_ACK,DHCP Ack log,Event,system,Information,7.4.11
interface,Interface,string,32,26001 - LOG_ID_DHCP_ACK,26001,LOG_ID_DHCP_ACK,DHCP Ack log,Event,system,Information,7.4.11
ip,,ip,39,26001 - LOG_ID_DHCP_ACK,26001,LOG_ID_DHCP_ACK,DHCP Ack log,Event,system,Information,7.4.11
mac,MAC Address,string,17,26001 - LOG_ID_DHCP_ACK,26001,LOG_ID_DHCP_ACK,DHCP Ack log,Event,system,Information,7.4.11
msg,Log Message,string,4096,26001 - LOG_ID_DHCP_ACK,26001,LOG_ID_DHCP_ACK,DHCP Ack log,Event,system,Information,7.4.11
logdesc,Log Description,string,4096,26001 - LOG_ID_DHCP_ACK,26001,LOG_ID_DHCP_ACK,DHCP Ack log,Event,system,Information,7.4.11
tz,Time zone,string,5,26001 - LOG_ID_DHCP_ACK,26001,LOG_ID_DHCP_ACK,DHCP Ack log,Event,system,Information,7.4.11
eventtime,Event time,uint64,20,26001 - LOG_ID_DHCP_ACK,26001,LOG_ID_DHCP_ACK,DHCP Ack log,Event,system,Information,7.4.11
vd,Virtual Domain Name,string,32,26001 - LOG_ID_DHCP_ACK,26001,LOG_ID_DHCP_ACK,DHCP Ack log,Event,system,Information,7.4.11
devid,Device ID,string,16,26001 - LOG_ID_DHCP_ACK,26001,LOG_ID_DHCP_ACK,DHCP Ack log,Event,system,Information,7.4.11
level,Log Level,string,11,26001 - LOG_ID_DHCP_ACK,26001,LOG_ID_DHCP_ACK,DHCP Ack log,Event,system,Information,7.4.11
subtype,Log Subtype,string,20,26001 - LOG_ID_DHCP_ACK,26001,LOG_ID_DHCP_ACK,DHCP Ack log,Event,system,Information,7.4.11
type,Log Type,string,16,26001 - LOG_ID_DHCP_ACK,26001,LOG_ID_DHCP_ACK,DHCP Ack log,Event,system,Information,7.4.11
logid,Log ID,string,10,26001 - LOG_ID_DHCP_ACK,26001,LOG_ID_DHCP_ACK,DHCP Ack log,Event,system,Information,7.4.11
time,Time,string,8,26001 - LOG_ID_DHCP_ACK,26001,LOG_ID_DHCP_ACK,DHCP Ack log,Event,system,Information,7.4.11
date,Date,string,10,26001 - LOG_ID_DHCP_ACK,26001,LOG_ID_DHCP_ACK,DHCP Ack log,Event,system,Information,7.4.11
