Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
path,,string,512,22038 - LOG_ID_CSF_GLOBAL_SYNC_FAILED,22038,LOG_ID_CSF_GLOBAL_SYNC_FAILED,Synchronization of global object failed.,Event,system,Error,7.4.11
sn,Serial Number,string,64,22038 - LOG_ID_CSF_GLOBAL_SYNC_FAILED,22038,LOG_ID_CSF_GLOBAL_SYNC_FAILED,Synchronization of global object failed.,Event,system,Error,7.4.11
reason,Reason,string,256,22038 - LOG_ID_CSF_GLOBAL_SYNC_FAILED,22038,LOG_ID_CSF_GLOBAL_SYNC_FAILED,Synchronization of global object failed.,Event,system,Error,7.4.11
msg,Log Message,string,4096,22038 - LOG_ID_CSF_GLOBAL_SYNC_FAILED,22038,LOG_ID_CSF_GLOBAL_SYNC_FAILED,Synchronization of global object failed.,Event,system,Error,7.4.11
status,Status,string,23,22038 - LOG_ID_CSF_GLOBAL_SYNC_FAILED,22038,LOG_ID_CSF_GLOBAL_SYNC_FAILED,Synchronization of global object failed.,Event,system,Error,7.4.11
logdesc,Log Description,string,4096,22038 - LOG_ID_CSF_GLOBAL_SYNC_FAILED,22038,LOG_ID_CSF_GLOBAL_SYNC_FAILED,Synchronization of global object failed.,Event,system,Error,7.4.11
tz,Time zone,string,5,22038 - LOG_ID_CSF_GLOBAL_SYNC_FAILED,22038,LOG_ID_CSF_GLOBAL_SYNC_FAILED,Synchronization of global object failed.,Event,system,Error,7.4.11
eventtime,Event time,uint64,20,22038 - LOG_ID_CSF_GLOBAL_SYNC_FAILED,22038,LOG_ID_CSF_GLOBAL_SYNC_FAILED,Synchronization of global object failed.,Event,system,Error,7.4.11
vd,Virtual Domain Name,string,32,22038 - LOG_ID_CSF_GLOBAL_SYNC_FAILED,22038,LOG_ID_CSF_GLOBAL_SYNC_FAILED,Synchronization of global object failed.,Event,system,Error,7.4.11
devid,Device ID,string,16,22038 - LOG_ID_CSF_GLOBAL_SYNC_FAILED,22038,LOG_ID_CSF_GLOBAL_SYNC_FAILED,Synchronization of global object failed.,Event,system,Error,7.4.11
level,Log Level,string,11,22038 - LOG_ID_CSF_GLOBAL_SYNC_FAILED,22038,LOG_ID_CSF_GLOBAL_SYNC_FAILED,Synchronization of global object failed.,Event,system,Error,7.4.11
subtype,Log Subtype,string,20,22038 - LOG_ID_CSF_GLOBAL_SYNC_FAILED,22038,LOG_ID_CSF_GLOBAL_SYNC_FAILED,Synchronization of global object failed.,Event,system,Error,7.4.11
type,Log Type,string,16,22038 - LOG_ID_CSF_GLOBAL_SYNC_FAILED,22038,LOG_ID_CSF_GLOBAL_SYNC_FAILED,Synchronization of global object failed.,Event,system,Error,7.4.11
logid,Log ID,string,10,22038 - LOG_ID_CSF_GLOBAL_SYNC_FAILED,22038,LOG_ID_CSF_GLOBAL_SYNC_FAILED,Synchronization of global object failed.,Event,system,Error,7.4.11
time,Time,string,8,22038 - LOG_ID_CSF_GLOBAL_SYNC_FAILED,22038,LOG_ID_CSF_GLOBAL_SYNC_FAILED,Synchronization of global object failed.,Event,system,Error,7.4.11
date,Date,string,10,22038 - LOG_ID_CSF_GLOBAL_SYNC_FAILED,22038,LOG_ID_CSF_GLOBAL_SYNC_FAILED,Synchronization of global object failed.,Event,system,Error,7.4.11
