Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
count,Count,uint32,10,20021 - LOG_ID_MAIL_RESENT,20021,LOG_ID_MAIL_RESENT,Alert email resent,Event,system,Information,7.4.8
msg,Log Message,string,4096,20021 - LOG_ID_MAIL_RESENT,20021,LOG_ID_MAIL_RESENT,Alert email resent,Event,system,Information,7.4.8
status,Status,string,23,20021 - LOG_ID_MAIL_RESENT,20021,LOG_ID_MAIL_RESENT,Alert email resent,Event,system,Information,7.4.8
action,Policy Action,string,65,20021 - LOG_ID_MAIL_RESENT,20021,LOG_ID_MAIL_RESENT,Alert email resent,Event,system,Information,7.4.8
ui,User Interface,string,64,20021 - LOG_ID_MAIL_RESENT,20021,LOG_ID_MAIL_RESENT,Alert email resent,Event,system,Information,7.4.8
user,User name of authenticated user,string,256,20021 - LOG_ID_MAIL_RESENT,20021,LOG_ID_MAIL_RESENT,Alert email resent,Event,system,Information,7.4.8
logdesc,Log Description,string,4096,20021 - LOG_ID_MAIL_RESENT,20021,LOG_ID_MAIL_RESENT,Alert email resent,Event,system,Information,7.4.8
tz,Time zone,string,5,20021 - LOG_ID_MAIL_RESENT,20021,LOG_ID_MAIL_RESENT,Alert email resent,Event,system,Information,7.4.8
eventtime,Event time,uint64,20,20021 - LOG_ID_MAIL_RESENT,20021,LOG_ID_MAIL_RESENT,Alert email resent,Event,system,Information,7.4.8
vd,Virtual Domain Name,string,32,20021 - LOG_ID_MAIL_RESENT,20021,LOG_ID_MAIL_RESENT,Alert email resent,Event,system,Information,7.4.8
devid,Device ID,string,16,20021 - LOG_ID_MAIL_RESENT,20021,LOG_ID_MAIL_RESENT,Alert email resent,Event,system,Information,7.4.8
level,Log Level,string,11,20021 - LOG_ID_MAIL_RESENT,20021,LOG_ID_MAIL_RESENT,Alert email resent,Event,system,Information,7.4.8
subtype,Log Subtype,string,20,20021 - LOG_ID_MAIL_RESENT,20021,LOG_ID_MAIL_RESENT,Alert email resent,Event,system,Information,7.4.8
type,Log Type,string,16,20021 - LOG_ID_MAIL_RESENT,20021,LOG_ID_MAIL_RESENT,Alert email resent,Event,system,Information,7.4.8
logid,Log ID,string,10,20021 - LOG_ID_MAIL_RESENT,20021,LOG_ID_MAIL_RESENT,Alert email resent,Event,system,Information,7.4.8
time,Time,string,8,20021 - LOG_ID_MAIL_RESENT,20021,LOG_ID_MAIL_RESENT,Alert email resent,Event,system,Information,7.4.8
date,Date,string,10,20021 - LOG_ID_MAIL_RESENT,20021,LOG_ID_MAIL_RESENT,Alert email resent,Event,system,Information,7.4.8
