Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
msg,Log Message,string,4096,38405 - LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,38405,LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,Guest user account login information sent to phone,Event,system,Notice,7.4.8
action,Policy Action,string,65,38405 - LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,38405,LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,Guest user account login information sent to phone,Event,system,Notice,7.4.8
user,User name of authenticated user,string,256,38405 - LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,38405,LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,Guest user account login information sent to phone,Event,system,Notice,7.4.8
logdesc,Log Description,string,4096,38405 - LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,38405,LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,Guest user account login information sent to phone,Event,system,Notice,7.4.8
tz,Time zone,string,5,38405 - LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,38405,LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,Guest user account login information sent to phone,Event,system,Notice,7.4.8
eventtime,Event time,uint64,20,38405 - LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,38405,LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,Guest user account login information sent to phone,Event,system,Notice,7.4.8
vd,Virtual Domain Name,string,32,38405 - LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,38405,LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,Guest user account login information sent to phone,Event,system,Notice,7.4.8
devid,Device ID,string,16,38405 - LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,38405,LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,Guest user account login information sent to phone,Event,system,Notice,7.4.8
level,Log Level,string,11,38405 - LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,38405,LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,Guest user account login information sent to phone,Event,system,Notice,7.4.8
subtype,Log Subtype,string,20,38405 - LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,38405,LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,Guest user account login information sent to phone,Event,system,Notice,7.4.8
type,Log Type,string,16,38405 - LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,38405,LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,Guest user account login information sent to phone,Event,system,Notice,7.4.8
logid,Log ID,string,10,38405 - LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,38405,LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,Guest user account login information sent to phone,Event,system,Notice,7.4.8
time,Time,string,8,38405 - LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,38405,LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,Guest user account login information sent to phone,Event,system,Notice,7.4.8
date,Date,string,10,38405 - LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,38405,LOGID_NOTIF_CODE_SENDTO_SMS_PHONE,Guest user account login information sent to phone,Event,system,Notice,7.4.8
