Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
name,,string,128,22894 - LOG_ID_FLCFGD_UPGRADE_ERROR,22894,LOG_ID_FLCFGD_UPGRADE_ERROR,Switch-Controller Switch Upgrade Error,Event,switch-controller,Error,7.2.12
sn,,string,64,22894 - LOG_ID_FLCFGD_UPGRADE_ERROR,22894,LOG_ID_FLCFGD_UPGRADE_ERROR,Switch-Controller Switch Upgrade Error,Event,switch-controller,Error,7.2.12
msg,,string,4096,22894 - LOG_ID_FLCFGD_UPGRADE_ERROR,22894,LOG_ID_FLCFGD_UPGRADE_ERROR,Switch-Controller Switch Upgrade Error,Event,switch-controller,Error,7.2.12
ui,,string,64,22894 - LOG_ID_FLCFGD_UPGRADE_ERROR,22894,LOG_ID_FLCFGD_UPGRADE_ERROR,Switch-Controller Switch Upgrade Error,Event,switch-controller,Error,7.2.12
user,,string,256,22894 - LOG_ID_FLCFGD_UPGRADE_ERROR,22894,LOG_ID_FLCFGD_UPGRADE_ERROR,Switch-Controller Switch Upgrade Error,Event,switch-controller,Error,7.2.12
logdesc,,string,4096,22894 - LOG_ID_FLCFGD_UPGRADE_ERROR,22894,LOG_ID_FLCFGD_UPGRADE_ERROR,Switch-Controller Switch Upgrade Error,Event,switch-controller,Error,7.2.12
tz,,string,5,22894 - LOG_ID_FLCFGD_UPGRADE_ERROR,22894,LOG_ID_FLCFGD_UPGRADE_ERROR,Switch-Controller Switch Upgrade Error,Event,switch-controller,Error,7.2.12
eventtime,,uint64,20,22894 - LOG_ID_FLCFGD_UPGRADE_ERROR,22894,LOG_ID_FLCFGD_UPGRADE_ERROR,Switch-Controller Switch Upgrade Error,Event,switch-controller,Error,7.2.12
vd,,string,32,22894 - LOG_ID_FLCFGD_UPGRADE_ERROR,22894,LOG_ID_FLCFGD_UPGRADE_ERROR,Switch-Controller Switch Upgrade Error,Event,switch-controller,Error,7.2.12
devid,,string,16,22894 - LOG_ID_FLCFGD_UPGRADE_ERROR,22894,LOG_ID_FLCFGD_UPGRADE_ERROR,Switch-Controller Switch Upgrade Error,Event,switch-controller,Error,7.2.12
level,,string,11,22894 - LOG_ID_FLCFGD_UPGRADE_ERROR,22894,LOG_ID_FLCFGD_UPGRADE_ERROR,Switch-Controller Switch Upgrade Error,Event,switch-controller,Error,7.2.12
subtype,,string,20,22894 - LOG_ID_FLCFGD_UPGRADE_ERROR,22894,LOG_ID_FLCFGD_UPGRADE_ERROR,Switch-Controller Switch Upgrade Error,Event,switch-controller,Error,7.2.12
type,,string,16,22894 - LOG_ID_FLCFGD_UPGRADE_ERROR,22894,LOG_ID_FLCFGD_UPGRADE_ERROR,Switch-Controller Switch Upgrade Error,Event,switch-controller,Error,7.2.12
logid,,string,10,22894 - LOG_ID_FLCFGD_UPGRADE_ERROR,22894,LOG_ID_FLCFGD_UPGRADE_ERROR,Switch-Controller Switch Upgrade Error,Event,switch-controller,Error,7.2.12
time,,string,8,22894 - LOG_ID_FLCFGD_UPGRADE_ERROR,22894,LOG_ID_FLCFGD_UPGRADE_ERROR,Switch-Controller Switch Upgrade Error,Event,switch-controller,Error,7.2.12
date,,string,10,22894 - LOG_ID_FLCFGD_UPGRADE_ERROR,22894,LOG_ID_FLCFGD_UPGRADE_ERROR,Switch-Controller Switch Upgrade Error,Event,switch-controller,Error,7.2.12
