Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
direction,,string,16,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.2.12
ip,,ip,39,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.2.12
sn,Serial Number,string,64,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.2.12
reason,Reason,string,256,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.2.12
msg,Log Message,string,4096,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.2.12
logdesc,Log Description,string,4096,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.2.12
tz,Time zone,string,5,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.2.12
eventtime,Event time,uint64,20,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.2.12
vd,Virtual Domain Name,string,32,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.2.12
devid,Device ID,string,16,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.2.12
level,Log Level,string,11,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.2.12
subtype,Log Subtype,string,20,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.2.12
type,Log Type,string,16,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.2.12
logid,Log ID,string,10,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.2.12
time,Time,string,8,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.2.12
date,Date,string,10,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.2.12
