Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
group,User group Name,string,512,43041 - LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,43041,LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,Disclaimer accepted,Event,user,Notice,7.6.3
interface,Interface,string,32,43041 - LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,43041,LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,Disclaimer accepted,Event,user,Notice,7.6.3
policyid,Policy ID,uint32,10,43041 - LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,43041,LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,Disclaimer accepted,Event,user,Notice,7.6.3
dstip,Destination IP,ip,39,43041 - LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,43041,LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,Disclaimer accepted,Event,user,Notice,7.6.3
reason,Reason,string,256,43041 - LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,43041,LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,Disclaimer accepted,Event,user,Notice,7.6.3
srcip,Source IP,ip,39,43041 - LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,43041,LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,Disclaimer accepted,Event,user,Notice,7.6.3
msg,Log Message,string,4096,43041 - LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,43041,LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,Disclaimer accepted,Event,user,Notice,7.6.3
status,Status,string,23,43041 - LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,43041,LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,Disclaimer accepted,Event,user,Notice,7.6.3
action,Policy Action,string,65,43041 - LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,43041,LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,Disclaimer accepted,Event,user,Notice,7.6.3
authproto,The protocol that initiated the authentication,string,512,43041 - LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,43041,LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,Disclaimer accepted,Event,user,Notice,7.6.3
user,User name of authenticated user,string,256,43041 - LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,43041,LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,Disclaimer accepted,Event,user,Notice,7.6.3
logdesc,Log Description,string,4096,43041 - LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,43041,LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,Disclaimer accepted,Event,user,Notice,7.6.3
tz,Time zone,string,5,43041 - LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,43041,LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,Disclaimer accepted,Event,user,Notice,7.6.3
eventtime,Event time,uint64,20,43041 - LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,43041,LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,Disclaimer accepted,Event,user,Notice,7.6.3
vd,Virtual Domain Name,string,32,43041 - LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,43041,LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,Disclaimer accepted,Event,user,Notice,7.6.3
devid,Device ID,string,16,43041 - LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,43041,LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,Disclaimer accepted,Event,user,Notice,7.6.3
level,Log Level,string,11,43041 - LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,43041,LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,Disclaimer accepted,Event,user,Notice,7.6.3
subtype,Log Subtype,string,20,43041 - LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,43041,LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,Disclaimer accepted,Event,user,Notice,7.6.3
type,Log Type,string,16,43041 - LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,43041,LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,Disclaimer accepted,Event,user,Notice,7.6.3
logid,Log ID,string,10,43041 - LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,43041,LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,Disclaimer accepted,Event,user,Notice,7.6.3
time,Time,string,8,43041 - LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,43041,LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,Disclaimer accepted,Event,user,Notice,7.6.3
date,Date,string,10,43041 - LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,43041,LOG_ID_EVENT_AUTH_DISCLAIMER_ACCEPT,Disclaimer accepted,Event,user,Notice,7.6.3
