Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,22010 - LOG_ID_SENDTO_FAIL,22010,LOG_ID_SENDTO_FAIL,URL filter packet send failure,Event,system,Error,7.4.5
time,Time,string,8,22010 - LOG_ID_SENDTO_FAIL,22010,LOG_ID_SENDTO_FAIL,URL filter packet send failure,Event,system,Error,7.4.5
logid,Log ID,string,10,22010 - LOG_ID_SENDTO_FAIL,22010,LOG_ID_SENDTO_FAIL,URL filter packet send failure,Event,system,Error,7.4.5
type,Log Type,string,16,22010 - LOG_ID_SENDTO_FAIL,22010,LOG_ID_SENDTO_FAIL,URL filter packet send failure,Event,system,Error,7.4.5
subtype,Log Subtype,string,20,22010 - LOG_ID_SENDTO_FAIL,22010,LOG_ID_SENDTO_FAIL,URL filter packet send failure,Event,system,Error,7.4.5
level,Log Level,string,11,22010 - LOG_ID_SENDTO_FAIL,22010,LOG_ID_SENDTO_FAIL,URL filter packet send failure,Event,system,Error,7.4.5
devid,Device ID,string,16,22010 - LOG_ID_SENDTO_FAIL,22010,LOG_ID_SENDTO_FAIL,URL filter packet send failure,Event,system,Error,7.4.5
vd,Virtual Domain Name,string,32,22010 - LOG_ID_SENDTO_FAIL,22010,LOG_ID_SENDTO_FAIL,URL filter packet send failure,Event,system,Error,7.4.5
eventtime,Event time,uint64,20,22010 - LOG_ID_SENDTO_FAIL,22010,LOG_ID_SENDTO_FAIL,URL filter packet send failure,Event,system,Error,7.4.5
tz,Time zone,string,5,22010 - LOG_ID_SENDTO_FAIL,22010,LOG_ID_SENDTO_FAIL,URL filter packet send failure,Event,system,Error,7.4.5
logdesc,Log Description,string,4096,22010 - LOG_ID_SENDTO_FAIL,22010,LOG_ID_SENDTO_FAIL,URL filter packet send failure,Event,system,Error,7.4.5
msg,Log Message,string,4096,22010 - LOG_ID_SENDTO_FAIL,22010,LOG_ID_SENDTO_FAIL,URL filter packet send failure,Event,system,Error,7.4.5
process,Process,string,4096,22010 - LOG_ID_SENDTO_FAIL,22010,LOG_ID_SENDTO_FAIL,URL filter packet send failure,Event,system,Error,7.4.5
reason,Reason,string,256,22010 - LOG_ID_SENDTO_FAIL,22010,LOG_ID_SENDTO_FAIL,URL filter packet send failure,Event,system,Error,7.4.5
