Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,32010 - LOG_ID_DISK_LOG_FULL,32010,LOG_ID_DISK_LOG_FULL,Disk full,Event,system,Warning,7.4.5
time,Time,string,8,32010 - LOG_ID_DISK_LOG_FULL,32010,LOG_ID_DISK_LOG_FULL,Disk full,Event,system,Warning,7.4.5
logid,Log ID,string,10,32010 - LOG_ID_DISK_LOG_FULL,32010,LOG_ID_DISK_LOG_FULL,Disk full,Event,system,Warning,7.4.5
type,Log Type,string,16,32010 - LOG_ID_DISK_LOG_FULL,32010,LOG_ID_DISK_LOG_FULL,Disk full,Event,system,Warning,7.4.5
subtype,Log Subtype,string,20,32010 - LOG_ID_DISK_LOG_FULL,32010,LOG_ID_DISK_LOG_FULL,Disk full,Event,system,Warning,7.4.5
level,Log Level,string,11,32010 - LOG_ID_DISK_LOG_FULL,32010,LOG_ID_DISK_LOG_FULL,Disk full,Event,system,Warning,7.4.5
devid,Device ID,string,16,32010 - LOG_ID_DISK_LOG_FULL,32010,LOG_ID_DISK_LOG_FULL,Disk full,Event,system,Warning,7.4.5
vd,Virtual Domain Name,string,32,32010 - LOG_ID_DISK_LOG_FULL,32010,LOG_ID_DISK_LOG_FULL,Disk full,Event,system,Warning,7.4.5
eventtime,Event time,uint64,20,32010 - LOG_ID_DISK_LOG_FULL,32010,LOG_ID_DISK_LOG_FULL,Disk full,Event,system,Warning,7.4.5
tz,Time zone,string,5,32010 - LOG_ID_DISK_LOG_FULL,32010,LOG_ID_DISK_LOG_FULL,Disk full,Event,system,Warning,7.4.5
logdesc,Log Description,string,4096,32010 - LOG_ID_DISK_LOG_FULL,32010,LOG_ID_DISK_LOG_FULL,Disk full,Event,system,Warning,7.4.5
msg,Log Message,string,4096,32010 - LOG_ID_DISK_LOG_FULL,32010,LOG_ID_DISK_LOG_FULL,Disk full,Event,system,Warning,7.4.5
