Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
sn,,string,64,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.6.3
name,,string,128,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.6.3
msg,,string,4096,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.6.3
ui,,string,64,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.6.3
user,,string,256,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.6.3
logdesc,,string,4096,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.6.3
tz,,string,5,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.6.3
eventtime,,uint64,20,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.6.3
vd,,string,32,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.6.3
devid,,string,16,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.6.3
level,,string,11,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.6.3
subtype,,string,20,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.6.3
type,,string,16,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.6.3
logid,,string,10,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.6.3
time,,string,8,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.6.3
date,,string,10,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.6.3
