Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
msg,Log Message,string,4096,22814 - LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,22814,LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,Scanunit AV Database reload error,Event,system,Error,7.6.3
action,Policy Action,string,65,22814 - LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,22814,LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,Scanunit AV Database reload error,Event,system,Error,7.6.3
logdesc,Log Description,string,4096,22814 - LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,22814,LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,Scanunit AV Database reload error,Event,system,Error,7.6.3
tz,Time zone,string,5,22814 - LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,22814,LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,Scanunit AV Database reload error,Event,system,Error,7.6.3
eventtime,Event time,uint64,20,22814 - LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,22814,LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,Scanunit AV Database reload error,Event,system,Error,7.6.3
vd,Virtual Domain Name,string,32,22814 - LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,22814,LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,Scanunit AV Database reload error,Event,system,Error,7.6.3
devid,Device ID,string,16,22814 - LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,22814,LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,Scanunit AV Database reload error,Event,system,Error,7.6.3
level,Log Level,string,11,22814 - LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,22814,LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,Scanunit AV Database reload error,Event,system,Error,7.6.3
subtype,Log Subtype,string,20,22814 - LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,22814,LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,Scanunit AV Database reload error,Event,system,Error,7.6.3
type,Log Type,string,16,22814 - LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,22814,LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,Scanunit AV Database reload error,Event,system,Error,7.6.3
logid,Log ID,string,10,22814 - LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,22814,LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,Scanunit AV Database reload error,Event,system,Error,7.6.3
time,Time,string,8,22814 - LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,22814,LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,Scanunit AV Database reload error,Event,system,Error,7.6.3
date,Date,string,10,22814 - LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,22814,LOG_ID_SCANUNIT_AVDB_RELOAD_ERROR,Scanunit AV Database reload error,Event,system,Error,7.6.3
