Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
limit,Virtual Domain Resource Limit,uint32,10,22103 - LOG_ID_QUAR_LIMIT_REACHED,22103,LOG_ID_QUAR_LIMIT_REACHED,Sandbox limit reached,Event,system,Warning,7.6.3
count,Count,uint32,10,22103 - LOG_ID_QUAR_LIMIT_REACHED,22103,LOG_ID_QUAR_LIMIT_REACHED,Sandbox limit reached,Event,system,Warning,7.6.3
msg,Log Message,string,4096,22103 - LOG_ID_QUAR_LIMIT_REACHED,22103,LOG_ID_QUAR_LIMIT_REACHED,Sandbox limit reached,Event,system,Warning,7.6.3
action,Policy Action,string,65,22103 - LOG_ID_QUAR_LIMIT_REACHED,22103,LOG_ID_QUAR_LIMIT_REACHED,Sandbox limit reached,Event,system,Warning,7.6.3
logdesc,Log Description,string,4096,22103 - LOG_ID_QUAR_LIMIT_REACHED,22103,LOG_ID_QUAR_LIMIT_REACHED,Sandbox limit reached,Event,system,Warning,7.6.3
tz,Time zone,string,5,22103 - LOG_ID_QUAR_LIMIT_REACHED,22103,LOG_ID_QUAR_LIMIT_REACHED,Sandbox limit reached,Event,system,Warning,7.6.3
eventtime,Event time,uint64,20,22103 - LOG_ID_QUAR_LIMIT_REACHED,22103,LOG_ID_QUAR_LIMIT_REACHED,Sandbox limit reached,Event,system,Warning,7.6.3
vd,Virtual Domain Name,string,32,22103 - LOG_ID_QUAR_LIMIT_REACHED,22103,LOG_ID_QUAR_LIMIT_REACHED,Sandbox limit reached,Event,system,Warning,7.6.3
devid,Device ID,string,16,22103 - LOG_ID_QUAR_LIMIT_REACHED,22103,LOG_ID_QUAR_LIMIT_REACHED,Sandbox limit reached,Event,system,Warning,7.6.3
level,Log Level,string,11,22103 - LOG_ID_QUAR_LIMIT_REACHED,22103,LOG_ID_QUAR_LIMIT_REACHED,Sandbox limit reached,Event,system,Warning,7.6.3
subtype,Log Subtype,string,20,22103 - LOG_ID_QUAR_LIMIT_REACHED,22103,LOG_ID_QUAR_LIMIT_REACHED,Sandbox limit reached,Event,system,Warning,7.6.3
type,Log Type,string,16,22103 - LOG_ID_QUAR_LIMIT_REACHED,22103,LOG_ID_QUAR_LIMIT_REACHED,Sandbox limit reached,Event,system,Warning,7.6.3
logid,Log ID,string,10,22103 - LOG_ID_QUAR_LIMIT_REACHED,22103,LOG_ID_QUAR_LIMIT_REACHED,Sandbox limit reached,Event,system,Warning,7.6.3
time,Time,string,8,22103 - LOG_ID_QUAR_LIMIT_REACHED,22103,LOG_ID_QUAR_LIMIT_REACHED,Sandbox limit reached,Event,system,Warning,7.6.3
date,Date,string,10,22103 - LOG_ID_QUAR_LIMIT_REACHED,22103,LOG_ID_QUAR_LIMIT_REACHED,Sandbox limit reached,Event,system,Warning,7.6.3
