Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,,string,10,32698 - LOG_ID_FGT_SWITCH_GROUP_ROUTER,32698,LOG_ID_FGT_SWITCH_GROUP_ROUTER,FortiSwitch router,Event,switch-controller,Critical,7.2.5
time,,string,8,32698 - LOG_ID_FGT_SWITCH_GROUP_ROUTER,32698,LOG_ID_FGT_SWITCH_GROUP_ROUTER,FortiSwitch router,Event,switch-controller,Critical,7.2.5
logid,,string,10,32698 - LOG_ID_FGT_SWITCH_GROUP_ROUTER,32698,LOG_ID_FGT_SWITCH_GROUP_ROUTER,FortiSwitch router,Event,switch-controller,Critical,7.2.5
type,,string,16,32698 - LOG_ID_FGT_SWITCH_GROUP_ROUTER,32698,LOG_ID_FGT_SWITCH_GROUP_ROUTER,FortiSwitch router,Event,switch-controller,Critical,7.2.5
subtype,,string,20,32698 - LOG_ID_FGT_SWITCH_GROUP_ROUTER,32698,LOG_ID_FGT_SWITCH_GROUP_ROUTER,FortiSwitch router,Event,switch-controller,Critical,7.2.5
level,,string,11,32698 - LOG_ID_FGT_SWITCH_GROUP_ROUTER,32698,LOG_ID_FGT_SWITCH_GROUP_ROUTER,FortiSwitch router,Event,switch-controller,Critical,7.2.5
devid,,string,16,32698 - LOG_ID_FGT_SWITCH_GROUP_ROUTER,32698,LOG_ID_FGT_SWITCH_GROUP_ROUTER,FortiSwitch router,Event,switch-controller,Critical,7.2.5
vd,,string,32,32698 - LOG_ID_FGT_SWITCH_GROUP_ROUTER,32698,LOG_ID_FGT_SWITCH_GROUP_ROUTER,FortiSwitch router,Event,switch-controller,Critical,7.2.5
eventtime,,uint64,20,32698 - LOG_ID_FGT_SWITCH_GROUP_ROUTER,32698,LOG_ID_FGT_SWITCH_GROUP_ROUTER,FortiSwitch router,Event,switch-controller,Critical,7.2.5
tz,,string,5,32698 - LOG_ID_FGT_SWITCH_GROUP_ROUTER,32698,LOG_ID_FGT_SWITCH_GROUP_ROUTER,FortiSwitch router,Event,switch-controller,Critical,7.2.5
logdesc,,string,4096,32698 - LOG_ID_FGT_SWITCH_GROUP_ROUTER,32698,LOG_ID_FGT_SWITCH_GROUP_ROUTER,FortiSwitch router,Event,switch-controller,Critical,7.2.5
user,,string,256,32698 - LOG_ID_FGT_SWITCH_GROUP_ROUTER,32698,LOG_ID_FGT_SWITCH_GROUP_ROUTER,FortiSwitch router,Event,switch-controller,Critical,7.2.5
ui,,string,64,32698 - LOG_ID_FGT_SWITCH_GROUP_ROUTER,32698,LOG_ID_FGT_SWITCH_GROUP_ROUTER,FortiSwitch router,Event,switch-controller,Critical,7.2.5
msg,,string,4096,32698 - LOG_ID_FGT_SWITCH_GROUP_ROUTER,32698,LOG_ID_FGT_SWITCH_GROUP_ROUTER,FortiSwitch router,Event,switch-controller,Critical,7.2.5
sn,,string,64,32698 - LOG_ID_FGT_SWITCH_GROUP_ROUTER,32698,LOG_ID_FGT_SWITCH_GROUP_ROUTER,FortiSwitch router,Event,switch-controller,Critical,7.2.5
name,,string,128,32698 - LOG_ID_FGT_SWITCH_GROUP_ROUTER,32698,LOG_ID_FGT_SWITCH_GROUP_ROUTER,FortiSwitch router,Event,switch-controller,Critical,7.2.5
cfgtid,,uint32,10,32698 - LOG_ID_FGT_SWITCH_GROUP_ROUTER,32698,LOG_ID_FGT_SWITCH_GROUP_ROUTER,FortiSwitch router,Event,switch-controller,Critical,7.2.5
cfgpath,,string,128,32698 - LOG_ID_FGT_SWITCH_GROUP_ROUTER,32698,LOG_ID_FGT_SWITCH_GROUP_ROUTER,FortiSwitch router,Event,switch-controller,Critical,7.2.5
cfgobj,,string,256,32698 - LOG_ID_FGT_SWITCH_GROUP_ROUTER,32698,LOG_ID_FGT_SWITCH_GROUP_ROUTER,FortiSwitch router,Event,switch-controller,Critical,7.2.5
cfgattr,,string,4096,32698 - LOG_ID_FGT_SWITCH_GROUP_ROUTER,32698,LOG_ID_FGT_SWITCH_GROUP_ROUTER,FortiSwitch router,Event,switch-controller,Critical,7.2.5
