Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
addrgrp,,string,36,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.13
msg,Log Message,string,4096,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.13
action,Policy Action,string,65,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.13
logdesc,Log Description,string,4096,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.13
tz,Time zone,string,5,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.13
eventtime,Event time,uint64,20,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.13
vd,Virtual Domain Name,string,32,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.13
devid,Device ID,string,16,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.13
level,Log Level,string,11,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.13
subtype,Log Subtype,string,20,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.13
type,Log Type,string,16,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.13
logid,Log ID,string,10,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.13
time,Time,string,8,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.13
date,Date,string,10,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.13
