Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
msg,Log Message,string,4096,34419 - LOG_ID_NP6_HPE_PACKET_FLOOD,34419,LOG_ID_NP6_HPE_PACKET_FLOOD,NP6 HPE under a packets flood,Event,system,Critical,7.2.13
logdesc,Log Description,string,4096,34419 - LOG_ID_NP6_HPE_PACKET_FLOOD,34419,LOG_ID_NP6_HPE_PACKET_FLOOD,NP6 HPE under a packets flood,Event,system,Critical,7.2.13
tz,Time zone,string,5,34419 - LOG_ID_NP6_HPE_PACKET_FLOOD,34419,LOG_ID_NP6_HPE_PACKET_FLOOD,NP6 HPE under a packets flood,Event,system,Critical,7.2.13
eventtime,Event time,uint64,20,34419 - LOG_ID_NP6_HPE_PACKET_FLOOD,34419,LOG_ID_NP6_HPE_PACKET_FLOOD,NP6 HPE under a packets flood,Event,system,Critical,7.2.13
vd,Virtual Domain Name,string,32,34419 - LOG_ID_NP6_HPE_PACKET_FLOOD,34419,LOG_ID_NP6_HPE_PACKET_FLOOD,NP6 HPE under a packets flood,Event,system,Critical,7.2.13
devid,Device ID,string,16,34419 - LOG_ID_NP6_HPE_PACKET_FLOOD,34419,LOG_ID_NP6_HPE_PACKET_FLOOD,NP6 HPE under a packets flood,Event,system,Critical,7.2.13
level,Log Level,string,11,34419 - LOG_ID_NP6_HPE_PACKET_FLOOD,34419,LOG_ID_NP6_HPE_PACKET_FLOOD,NP6 HPE under a packets flood,Event,system,Critical,7.2.13
subtype,Log Subtype,string,20,34419 - LOG_ID_NP6_HPE_PACKET_FLOOD,34419,LOG_ID_NP6_HPE_PACKET_FLOOD,NP6 HPE under a packets flood,Event,system,Critical,7.2.13
type,Log Type,string,16,34419 - LOG_ID_NP6_HPE_PACKET_FLOOD,34419,LOG_ID_NP6_HPE_PACKET_FLOOD,NP6 HPE under a packets flood,Event,system,Critical,7.2.13
logid,Log ID,string,10,34419 - LOG_ID_NP6_HPE_PACKET_FLOOD,34419,LOG_ID_NP6_HPE_PACKET_FLOOD,NP6 HPE under a packets flood,Event,system,Critical,7.2.13
time,Time,string,8,34419 - LOG_ID_NP6_HPE_PACKET_FLOOD,34419,LOG_ID_NP6_HPE_PACKET_FLOOD,NP6 HPE under a packets flood,Event,system,Critical,7.2.13
date,Date,string,10,34419 - LOG_ID_NP6_HPE_PACKET_FLOOD,34419,LOG_ID_NP6_HPE_PACKET_FLOOD,NP6 HPE under a packets flood,Event,system,Critical,7.2.13
