Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
mac,MAC Address,string,17,43706 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,43706,LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,DHCP6 server sent DHCP6 RECONFIGURE,Event,wireless,Notice,7.2.13
server,AD server FQDN or IP,string,64,43706 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,43706,LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,DHCP6 server sent DHCP6 RECONFIGURE,Event,wireless,Notice,7.2.13
remotewtptime,The time of AP when client trying to connect,string,32,43706 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,43706,LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,DHCP6 server sent DHCP6 RECONFIGURE,Event,wireless,Notice,7.2.13
vap,Virtual Access Point,string,36,43706 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,43706,LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,DHCP6 server sent DHCP6 RECONFIGURE,Event,wireless,Notice,7.2.13
ap,Access Point,string,36,43706 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,43706,LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,DHCP6 server sent DHCP6 RECONFIGURE,Event,wireless,Notice,7.2.13
sn,Serial Number,string,64,43706 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,43706,LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,DHCP6 server sent DHCP6 RECONFIGURE,Event,wireless,Notice,7.2.13
stamac,The MAC address of wifi station,string,17,43706 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,43706,LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,DHCP6 server sent DHCP6 RECONFIGURE,Event,wireless,Notice,7.2.13
encryption,The encryption type of detected rogue AP,string,12,43706 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,43706,LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,DHCP6 server sent DHCP6 RECONFIGURE,Event,wireless,Notice,7.2.13
security,Security,string,40,43706 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,43706,LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,DHCP6 server sent DHCP6 RECONFIGURE,Event,wireless,Notice,7.2.13
ssid,WiFi Service Set ID,string,33,43706 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,43706,LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,DHCP6 server sent DHCP6 RECONFIGURE,Event,wireless,Notice,7.2.13
msg,Log Message,string,4096,43706 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,43706,LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,DHCP6 server sent DHCP6 RECONFIGURE,Event,wireless,Notice,7.2.13
action,Policy Action,string,65,43706 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,43706,LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,DHCP6 server sent DHCP6 RECONFIGURE,Event,wireless,Notice,7.2.13
logdesc,Log Description,string,4096,43706 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,43706,LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,DHCP6 server sent DHCP6 RECONFIGURE,Event,wireless,Notice,7.2.13
tz,Time zone,string,5,43706 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,43706,LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,DHCP6 server sent DHCP6 RECONFIGURE,Event,wireless,Notice,7.2.13
eventtime,Event time,uint64,20,43706 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,43706,LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,DHCP6 server sent DHCP6 RECONFIGURE,Event,wireless,Notice,7.2.13
vd,Virtual Domain Name,string,32,43706 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,43706,LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,DHCP6 server sent DHCP6 RECONFIGURE,Event,wireless,Notice,7.2.13
devid,Device ID,string,16,43706 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,43706,LOG_ID_EVENT_WIRELESS_STA_DHCP6_RECONFIGURE,DHCP6 server sent DHCP6 RECONFIGURE,Event,wireless,Notice,7.2.13
