Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Policy Action,string,65,43657 - LOG_ID_EVENT_WIRELESS_STA_ASSOC_FAIL,43657,LOG_ID_EVENT_WIRELESS_STA_ASSOC_FAIL,Wireless station association failed,Event,wireless,Notice,7.2.13
logdesc,Log Description,string,4096,43657 - LOG_ID_EVENT_WIRELESS_STA_ASSOC_FAIL,43657,LOG_ID_EVENT_WIRELESS_STA_ASSOC_FAIL,Wireless station association failed,Event,wireless,Notice,7.2.13
tz,Time zone,string,5,43657 - LOG_ID_EVENT_WIRELESS_STA_ASSOC_FAIL,43657,LOG_ID_EVENT_WIRELESS_STA_ASSOC_FAIL,Wireless station association failed,Event,wireless,Notice,7.2.13
eventtime,Event time,uint64,20,43657 - LOG_ID_EVENT_WIRELESS_STA_ASSOC_FAIL,43657,LOG_ID_EVENT_WIRELESS_STA_ASSOC_FAIL,Wireless station association failed,Event,wireless,Notice,7.2.13
vd,Virtual Domain Name,string,32,43657 - LOG_ID_EVENT_WIRELESS_STA_ASSOC_FAIL,43657,LOG_ID_EVENT_WIRELESS_STA_ASSOC_FAIL,Wireless station association failed,Event,wireless,Notice,7.2.13
devid,Device ID,string,16,43657 - LOG_ID_EVENT_WIRELESS_STA_ASSOC_FAIL,43657,LOG_ID_EVENT_WIRELESS_STA_ASSOC_FAIL,Wireless station association failed,Event,wireless,Notice,7.2.13
level,Log Level,string,11,43657 - LOG_ID_EVENT_WIRELESS_STA_ASSOC_FAIL,43657,LOG_ID_EVENT_WIRELESS_STA_ASSOC_FAIL,Wireless station association failed,Event,wireless,Notice,7.2.13
subtype,Log Subtype,string,20,43657 - LOG_ID_EVENT_WIRELESS_STA_ASSOC_FAIL,43657,LOG_ID_EVENT_WIRELESS_STA_ASSOC_FAIL,Wireless station association failed,Event,wireless,Notice,7.2.13
type,Log Type,string,16,43657 - LOG_ID_EVENT_WIRELESS_STA_ASSOC_FAIL,43657,LOG_ID_EVENT_WIRELESS_STA_ASSOC_FAIL,Wireless station association failed,Event,wireless,Notice,7.2.13
logid,Log ID,string,10,43657 - LOG_ID_EVENT_WIRELESS_STA_ASSOC_FAIL,43657,LOG_ID_EVENT_WIRELESS_STA_ASSOC_FAIL,Wireless station association failed,Event,wireless,Notice,7.2.13
time,Time,string,8,43657 - LOG_ID_EVENT_WIRELESS_STA_ASSOC_FAIL,43657,LOG_ID_EVENT_WIRELESS_STA_ASSOC_FAIL,Wireless station association failed,Event,wireless,Notice,7.2.13
date,Date,string,10,43657 - LOG_ID_EVENT_WIRELESS_STA_ASSOC_FAIL,43657,LOG_ID_EVENT_WIRELESS_STA_ASSOC_FAIL,Wireless station association failed,Event,wireless,Notice,7.2.13
