Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
new_status,New Status,string,512,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.2.13
informationsource,Information Source,string,4096,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.2.13
desc,Description,string,128,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.2.13
reason,Reason,string,256,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.2.13
msg,Log Message,string,4096,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.2.13
action,Policy Action,string,65,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.2.13
logdesc,Log Description,string,4096,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.2.13
tz,Time zone,string,5,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.2.13
eventtime,Event time,uint64,20,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.2.13
vd,Virtual Domain Name,string,32,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.2.13
devid,Device ID,string,16,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.2.13
level,Log Level,string,11,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.2.13
subtype,Log Subtype,string,20,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.2.13
type,Log Type,string,16,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.2.13
logid,Log ID,string,10,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.2.13
time,Time,string,8,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.2.13
date,Date,string,10,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.2.13
