Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,39946 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,39946,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,SSL VPN exit error,Event,vpn,Error,7.2.6
time,Time,string,8,39946 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,39946,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,SSL VPN exit error,Event,vpn,Error,7.2.6
logid,Log ID,string,10,39946 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,39946,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,SSL VPN exit error,Event,vpn,Error,7.2.6
type,Log Type,string,16,39946 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,39946,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,SSL VPN exit error,Event,vpn,Error,7.2.6
subtype,Log Subtype,string,20,39946 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,39946,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,SSL VPN exit error,Event,vpn,Error,7.2.6
level,Log Level,string,11,39946 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,39946,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,SSL VPN exit error,Event,vpn,Error,7.2.6
devid,Device ID,string,16,39946 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,39946,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,SSL VPN exit error,Event,vpn,Error,7.2.6
vd,Virtual Domain Name,string,32,39946 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,39946,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,SSL VPN exit error,Event,vpn,Error,7.2.6
eventtime,Event time,uint64,20,39946 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,39946,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,SSL VPN exit error,Event,vpn,Error,7.2.6
tz,Time zone,string,5,39946 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,39946,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,SSL VPN exit error,Event,vpn,Error,7.2.6
logdesc,Log Description,string,4096,39946 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,39946,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,SSL VPN exit error,Event,vpn,Error,7.2.6
action,Policy Action,string,65,39946 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,39946,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,SSL VPN exit error,Event,vpn,Error,7.2.6
tunnelid,IPsec VPN tunnel ID,uint32,10,39946 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,39946,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,SSL VPN exit error,Event,vpn,Error,7.2.6
tunneltype,IPsec VPN tunnel type,string,64,39946 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,39946,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,SSL VPN exit error,Event,vpn,Error,7.2.6
remip,IPsec VPN remote gateway IP address,ip,39,39946 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,39946,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,SSL VPN exit error,Event,vpn,Error,7.2.6
user,User name of authenticated user,string,256,39946 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,39946,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,SSL VPN exit error,Event,vpn,Error,7.2.6
group,User group Name,string,512,39946 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,39946,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,SSL VPN exit error,Event,vpn,Error,7.2.6
msg,Log Message,string,4096,39946 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,39946,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,SSL VPN exit error,Event,vpn,Error,7.2.6
reason,Reason,string,256,39946 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,39946,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,SSL VPN exit error,Event,vpn,Error,7.2.6
dst_host,Destination Host,string,64,39946 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,39946,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_ERR,SSL VPN exit error,Event,vpn,Error,7.2.6
