Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
logid,Log ID,string,10,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.1
login,SSH login Name,string,128,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.1
policyid,Policy ID,uint32,10,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.1
policytype,,string,24,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.1
profile,Full profile name,string,64,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.1
proto,Protocol number,uint8,3,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.1
sessionid,Session ID,uint32,10,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.1
severity,Severity level of shell command,string,8,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.1
srccountry,,string,64,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.1
srcdomain,,string,255,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.1
srcintf,Source Interface,string,32,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.1
srcintfrole,"Source Interface's assigned role (LAN, WAN, etc.)",string,10,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.1
srcip,Source IP,ip,39,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.1
srcport,Source Port,uint16,5,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.1
srcuuid,,string,37,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.1
subtype,Log subtype,string,20,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.1
time,Time,string,8,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.1
type,Log type,string,16,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.1
tz,Time zone,string,5,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.1
unauthuser,Unauthenticated User,string,66,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.1
unauthusersource,Unauthenticated User Source,string,66,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.1
user,User name for authentication,string,256,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.1
vd,Virtual Domain Name,string,32,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.1
