Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
reason,Reason,string,256,43613 - LOG_ID_EVENT_WIRELESS_WTP_ERR,43613,LOG_ID_EVENT_WIRELESS_WTP_ERR,Physical AP error,Event,wireless,Notice,7.2.12
snmeshparent,SN of the mesh parent,string,36,43613 - LOG_ID_EVENT_WIRELESS_WTP_ERR,43613,LOG_ID_EVENT_WIRELESS_WTP_ERR,Physical AP error,Event,wireless,Notice,7.2.12
meshmode,Mesh mode,string,19,43613 - LOG_ID_EVENT_WIRELESS_WTP_ERR,43613,LOG_ID_EVENT_WIRELESS_WTP_ERR,Physical AP error,Event,wireless,Notice,7.2.12
ip,,ip,39,43613 - LOG_ID_EVENT_WIRELESS_WTP_ERR,43613,LOG_ID_EVENT_WIRELESS_WTP_ERR,Physical AP error,Event,wireless,Notice,7.2.12
profile,Profile Name,string,64,43613 - LOG_ID_EVENT_WIRELESS_WTP_ERR,43613,LOG_ID_EVENT_WIRELESS_WTP_ERR,Physical AP error,Event,wireless,Notice,7.2.12
ap,Access Point,string,36,43613 - LOG_ID_EVENT_WIRELESS_WTP_ERR,43613,LOG_ID_EVENT_WIRELESS_WTP_ERR,Physical AP error,Event,wireless,Notice,7.2.12
sn,Serial Number,string,64,43613 - LOG_ID_EVENT_WIRELESS_WTP_ERR,43613,LOG_ID_EVENT_WIRELESS_WTP_ERR,Physical AP error,Event,wireless,Notice,7.2.12
msg,Log Message,string,4096,43613 - LOG_ID_EVENT_WIRELESS_WTP_ERR,43613,LOG_ID_EVENT_WIRELESS_WTP_ERR,Physical AP error,Event,wireless,Notice,7.2.12
action,Policy Action,string,65,43613 - LOG_ID_EVENT_WIRELESS_WTP_ERR,43613,LOG_ID_EVENT_WIRELESS_WTP_ERR,Physical AP error,Event,wireless,Notice,7.2.12
logdesc,Log Description,string,4096,43613 - LOG_ID_EVENT_WIRELESS_WTP_ERR,43613,LOG_ID_EVENT_WIRELESS_WTP_ERR,Physical AP error,Event,wireless,Notice,7.2.12
tz,Time zone,string,5,43613 - LOG_ID_EVENT_WIRELESS_WTP_ERR,43613,LOG_ID_EVENT_WIRELESS_WTP_ERR,Physical AP error,Event,wireless,Notice,7.2.12
eventtime,Event time,uint64,20,43613 - LOG_ID_EVENT_WIRELESS_WTP_ERR,43613,LOG_ID_EVENT_WIRELESS_WTP_ERR,Physical AP error,Event,wireless,Notice,7.2.12
vd,Virtual Domain Name,string,32,43613 - LOG_ID_EVENT_WIRELESS_WTP_ERR,43613,LOG_ID_EVENT_WIRELESS_WTP_ERR,Physical AP error,Event,wireless,Notice,7.2.12
devid,Device ID,string,16,43613 - LOG_ID_EVENT_WIRELESS_WTP_ERR,43613,LOG_ID_EVENT_WIRELESS_WTP_ERR,Physical AP error,Event,wireless,Notice,7.2.12
level,Log Level,string,11,43613 - LOG_ID_EVENT_WIRELESS_WTP_ERR,43613,LOG_ID_EVENT_WIRELESS_WTP_ERR,Physical AP error,Event,wireless,Notice,7.2.12
subtype,Log Subtype,string,20,43613 - LOG_ID_EVENT_WIRELESS_WTP_ERR,43613,LOG_ID_EVENT_WIRELESS_WTP_ERR,Physical AP error,Event,wireless,Notice,7.2.12
type,Log Type,string,16,43613 - LOG_ID_EVENT_WIRELESS_WTP_ERR,43613,LOG_ID_EVENT_WIRELESS_WTP_ERR,Physical AP error,Event,wireless,Notice,7.2.12
logid,Log ID,string,10,43613 - LOG_ID_EVENT_WIRELESS_WTP_ERR,43613,LOG_ID_EVENT_WIRELESS_WTP_ERR,Physical AP error,Event,wireless,Notice,7.2.12
time,Time,string,8,43613 - LOG_ID_EVENT_WIRELESS_WTP_ERR,43613,LOG_ID_EVENT_WIRELESS_WTP_ERR,Physical AP error,Event,wireless,Notice,7.2.12
date,Date,string,10,43613 - LOG_ID_EVENT_WIRELESS_WTP_ERR,43613,LOG_ID_EVENT_WIRELESS_WTP_ERR,Physical AP error,Event,wireless,Notice,7.2.12
