Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
name,,string,128,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.12
sn,,string,64,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.12
msg,,string,4096,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.12
ui,,string,64,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.12
user,,string,256,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.12
logdesc,,string,4096,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.12
tz,,string,5,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.12
eventtime,,uint64,20,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.12
vd,,string,32,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.12
devid,,string,16,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.12
level,,string,11,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.12
subtype,,string,20,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.12
type,,string,16,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.12
logid,,string,10,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.12
time,,string,8,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.12
date,,string,10,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.12
