Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,,string,11,13697 - LOG_ID_UNKNOWN_CE_BYPASS,13697,LOG_ID_UNKNOWN_CE_BYPASS,Scan is bypassed due to unknown content-encoding.,Webfilter,unknown-ce,Notice,7.4.1
contentencoding,,string,512,13697 - LOG_ID_UNKNOWN_CE_BYPASS,13697,LOG_ID_UNKNOWN_CE_BYPASS,Scan is bypassed due to unknown content-encoding.,Webfilter,unknown-ce,Notice,7.4.1
date,,string,10,13697 - LOG_ID_UNKNOWN_CE_BYPASS,13697,LOG_ID_UNKNOWN_CE_BYPASS,Scan is bypassed due to unknown content-encoding.,Webfilter,unknown-ce,Notice,7.4.1
devid,,string,16,13697 - LOG_ID_UNKNOWN_CE_BYPASS,13697,LOG_ID_UNKNOWN_CE_BYPASS,Scan is bypassed due to unknown content-encoding.,Webfilter,unknown-ce,Notice,7.4.1
dstintf,,string,32,13697 - LOG_ID_UNKNOWN_CE_BYPASS,13697,LOG_ID_UNKNOWN_CE_BYPASS,Scan is bypassed due to unknown content-encoding.,Webfilter,unknown-ce,Notice,7.4.1
dstintfrole,,string,10,13697 - LOG_ID_UNKNOWN_CE_BYPASS,13697,LOG_ID_UNKNOWN_CE_BYPASS,Scan is bypassed due to unknown content-encoding.,Webfilter,unknown-ce,Notice,7.4.1
dstip,,ip,39,13697 - LOG_ID_UNKNOWN_CE_BYPASS,13697,LOG_ID_UNKNOWN_CE_BYPASS,Scan is bypassed due to unknown content-encoding.,Webfilter,unknown-ce,Notice,7.4.1
dstport,,uint16,5,13697 - LOG_ID_UNKNOWN_CE_BYPASS,13697,LOG_ID_UNKNOWN_CE_BYPASS,Scan is bypassed due to unknown content-encoding.,Webfilter,unknown-ce,Notice,7.4.1
eventtime,,uint64,20,13697 - LOG_ID_UNKNOWN_CE_BYPASS,13697,LOG_ID_UNKNOWN_CE_BYPASS,Scan is bypassed due to unknown content-encoding.,Webfilter,unknown-ce,Notice,7.4.1
eventtype,,string,32,13697 - LOG_ID_UNKNOWN_CE_BYPASS,13697,LOG_ID_UNKNOWN_CE_BYPASS,Scan is bypassed due to unknown content-encoding.,Webfilter,unknown-ce,Notice,7.4.1
