Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
desc,Description,string,128,47004 - LOG_ID_FILE_HASH_EMS_LIST_LOAD,47004,LOG_ID_FILE_HASH_EMS_LIST_LOAD,EMS file-hash list loaded,Event,system,Notice,7.4.8
reason,Reason,string,256,47004 - LOG_ID_FILE_HASH_EMS_LIST_LOAD,47004,LOG_ID_FILE_HASH_EMS_LIST_LOAD,EMS file-hash list loaded,Event,system,Notice,7.4.8
msg,Log Message,string,4096,47004 - LOG_ID_FILE_HASH_EMS_LIST_LOAD,47004,LOG_ID_FILE_HASH_EMS_LIST_LOAD,EMS file-hash list loaded,Event,system,Notice,7.4.8
logdesc,Log Description,string,4096,47004 - LOG_ID_FILE_HASH_EMS_LIST_LOAD,47004,LOG_ID_FILE_HASH_EMS_LIST_LOAD,EMS file-hash list loaded,Event,system,Notice,7.4.8
tz,Time zone,string,5,47004 - LOG_ID_FILE_HASH_EMS_LIST_LOAD,47004,LOG_ID_FILE_HASH_EMS_LIST_LOAD,EMS file-hash list loaded,Event,system,Notice,7.4.8
eventtime,Event time,uint64,20,47004 - LOG_ID_FILE_HASH_EMS_LIST_LOAD,47004,LOG_ID_FILE_HASH_EMS_LIST_LOAD,EMS file-hash list loaded,Event,system,Notice,7.4.8
vd,Virtual Domain Name,string,32,47004 - LOG_ID_FILE_HASH_EMS_LIST_LOAD,47004,LOG_ID_FILE_HASH_EMS_LIST_LOAD,EMS file-hash list loaded,Event,system,Notice,7.4.8
devid,Device ID,string,16,47004 - LOG_ID_FILE_HASH_EMS_LIST_LOAD,47004,LOG_ID_FILE_HASH_EMS_LIST_LOAD,EMS file-hash list loaded,Event,system,Notice,7.4.8
level,Log Level,string,11,47004 - LOG_ID_FILE_HASH_EMS_LIST_LOAD,47004,LOG_ID_FILE_HASH_EMS_LIST_LOAD,EMS file-hash list loaded,Event,system,Notice,7.4.8
subtype,Log Subtype,string,20,47004 - LOG_ID_FILE_HASH_EMS_LIST_LOAD,47004,LOG_ID_FILE_HASH_EMS_LIST_LOAD,EMS file-hash list loaded,Event,system,Notice,7.4.8
type,Log Type,string,16,47004 - LOG_ID_FILE_HASH_EMS_LIST_LOAD,47004,LOG_ID_FILE_HASH_EMS_LIST_LOAD,EMS file-hash list loaded,Event,system,Notice,7.4.8
logid,Log ID,string,10,47004 - LOG_ID_FILE_HASH_EMS_LIST_LOAD,47004,LOG_ID_FILE_HASH_EMS_LIST_LOAD,EMS file-hash list loaded,Event,system,Notice,7.4.8
time,Time,string,8,47004 - LOG_ID_FILE_HASH_EMS_LIST_LOAD,47004,LOG_ID_FILE_HASH_EMS_LIST_LOAD,EMS file-hash list loaded,Event,system,Notice,7.4.8
date,Date,string,10,47004 - LOG_ID_FILE_HASH_EMS_LIST_LOAD,47004,LOG_ID_FILE_HASH_EMS_LIST_LOAD,EMS file-hash list loaded,Event,system,Notice,7.4.8
