Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
msg,Log Message,string,4096,43654 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,43654,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,AP sent 1/2 message of group key handshake to wireless client,Event,wireless,Warning,7.2.5
ssid,WiFi Service Set ID,string,33,43654 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,43654,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,AP sent 1/2 message of group key handshake to wireless client,Event,wireless,Warning,7.2.5
channel,Channel,uint8,3,43654 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,43654,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,AP sent 1/2 message of group key handshake to wireless client,Event,wireless,Warning,7.2.5
security,Security,string,40,43654 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,43654,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,AP sent 1/2 message of group key handshake to wireless client,Event,wireless,Warning,7.2.5
encryption,The encryption type of detected rogue AP,string,12,43654 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,43654,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,AP sent 1/2 message of group key handshake to wireless client,Event,wireless,Warning,7.2.5
stamac,The MAC address of wifi station,string,17,43654 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,43654,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,AP sent 1/2 message of group key handshake to wireless client,Event,wireless,Warning,7.2.5
sn,Serial Number,string,64,43654 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,43654,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,AP sent 1/2 message of group key handshake to wireless client,Event,wireless,Warning,7.2.5
ap,Access Point,string,36,43654 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,43654,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,AP sent 1/2 message of group key handshake to wireless client,Event,wireless,Warning,7.2.5
reason,Reason,string,256,43654 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,43654,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,AP sent 1/2 message of group key handshake to wireless client,Event,wireless,Warning,7.2.5
vap,Virtual Access Point,string,36,43654 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,43654,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,AP sent 1/2 message of group key handshake to wireless client,Event,wireless,Warning,7.2.5
radioid,The operating radio ID,uint8,3,43654 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,43654,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,AP sent 1/2 message of group key handshake to wireless client,Event,wireless,Warning,7.2.5
user,User name of authenticated user,string,256,43654 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,43654,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,AP sent 1/2 message of group key handshake to wireless client,Event,wireless,Warning,7.2.5
authserver,Remote Authentication server,string,64,43654 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,43654,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,AP sent 1/2 message of group key handshake to wireless client,Event,wireless,Warning,7.2.5
remotewtptime,The time of AP when client trying to connect,string,32,43654 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,43654,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_GROUP_MSG,AP sent 1/2 message of group key handshake to wireless client,Event,wireless,Warning,7.2.5
