Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
sn,,string,64,32607 - LOG_ID_FGT_SWITCH_PUSH_IMAGE,32607,LOG_ID_FGT_SWITCH_PUSH_IMAGE,Image push to FortiSwitch,Event,switch-controller,Information,7.6.6
name,,string,128,32607 - LOG_ID_FGT_SWITCH_PUSH_IMAGE,32607,LOG_ID_FGT_SWITCH_PUSH_IMAGE,Image push to FortiSwitch,Event,switch-controller,Information,7.6.6
msg,,string,4096,32607 - LOG_ID_FGT_SWITCH_PUSH_IMAGE,32607,LOG_ID_FGT_SWITCH_PUSH_IMAGE,Image push to FortiSwitch,Event,switch-controller,Information,7.6.6
ui,,string,64,32607 - LOG_ID_FGT_SWITCH_PUSH_IMAGE,32607,LOG_ID_FGT_SWITCH_PUSH_IMAGE,Image push to FortiSwitch,Event,switch-controller,Information,7.6.6
user,,string,256,32607 - LOG_ID_FGT_SWITCH_PUSH_IMAGE,32607,LOG_ID_FGT_SWITCH_PUSH_IMAGE,Image push to FortiSwitch,Event,switch-controller,Information,7.6.6
logdesc,,string,4096,32607 - LOG_ID_FGT_SWITCH_PUSH_IMAGE,32607,LOG_ID_FGT_SWITCH_PUSH_IMAGE,Image push to FortiSwitch,Event,switch-controller,Information,7.6.6
tz,,string,5,32607 - LOG_ID_FGT_SWITCH_PUSH_IMAGE,32607,LOG_ID_FGT_SWITCH_PUSH_IMAGE,Image push to FortiSwitch,Event,switch-controller,Information,7.6.6
eventtime,,uint64,20,32607 - LOG_ID_FGT_SWITCH_PUSH_IMAGE,32607,LOG_ID_FGT_SWITCH_PUSH_IMAGE,Image push to FortiSwitch,Event,switch-controller,Information,7.6.6
vd,,string,32,32607 - LOG_ID_FGT_SWITCH_PUSH_IMAGE,32607,LOG_ID_FGT_SWITCH_PUSH_IMAGE,Image push to FortiSwitch,Event,switch-controller,Information,7.6.6
devid,,string,16,32607 - LOG_ID_FGT_SWITCH_PUSH_IMAGE,32607,LOG_ID_FGT_SWITCH_PUSH_IMAGE,Image push to FortiSwitch,Event,switch-controller,Information,7.6.6
level,,string,11,32607 - LOG_ID_FGT_SWITCH_PUSH_IMAGE,32607,LOG_ID_FGT_SWITCH_PUSH_IMAGE,Image push to FortiSwitch,Event,switch-controller,Information,7.6.6
subtype,,string,20,32607 - LOG_ID_FGT_SWITCH_PUSH_IMAGE,32607,LOG_ID_FGT_SWITCH_PUSH_IMAGE,Image push to FortiSwitch,Event,switch-controller,Information,7.6.6
type,,string,16,32607 - LOG_ID_FGT_SWITCH_PUSH_IMAGE,32607,LOG_ID_FGT_SWITCH_PUSH_IMAGE,Image push to FortiSwitch,Event,switch-controller,Information,7.6.6
logid,,string,10,32607 - LOG_ID_FGT_SWITCH_PUSH_IMAGE,32607,LOG_ID_FGT_SWITCH_PUSH_IMAGE,Image push to FortiSwitch,Event,switch-controller,Information,7.6.6
time,,string,8,32607 - LOG_ID_FGT_SWITCH_PUSH_IMAGE,32607,LOG_ID_FGT_SWITCH_PUSH_IMAGE,Image push to FortiSwitch,Event,switch-controller,Information,7.6.6
date,,string,10,32607 - LOG_ID_FGT_SWITCH_PUSH_IMAGE,32607,LOG_ID_FGT_SWITCH_PUSH_IMAGE,Image push to FortiSwitch,Event,switch-controller,Information,7.6.6
