Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
cfgpath,Configuration path,string,128,44560 - LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,44560,LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,Configure admin accprofile as super_admin,Event,system,Notice,7.6.6
admin,Administrator,string,64,44560 - LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,44560,LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,Configure admin accprofile as super_admin,Event,system,Notice,7.6.6
msg,Log Message,string,4096,44560 - LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,44560,LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,Configure admin accprofile as super_admin,Event,system,Notice,7.6.6
action,Policy Action,string,65,44560 - LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,44560,LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,Configure admin accprofile as super_admin,Event,system,Notice,7.6.6
ui,User Interface,string,64,44560 - LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,44560,LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,Configure admin accprofile as super_admin,Event,system,Notice,7.6.6
user,User name of authenticated user,string,256,44560 - LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,44560,LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,Configure admin accprofile as super_admin,Event,system,Notice,7.6.6
logdesc,Log Description,string,4096,44560 - LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,44560,LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,Configure admin accprofile as super_admin,Event,system,Notice,7.6.6
tz,Time zone,string,5,44560 - LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,44560,LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,Configure admin accprofile as super_admin,Event,system,Notice,7.6.6
eventtime,Event time,uint64,20,44560 - LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,44560,LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,Configure admin accprofile as super_admin,Event,system,Notice,7.6.6
vd,Virtual Domain Name,string,32,44560 - LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,44560,LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,Configure admin accprofile as super_admin,Event,system,Notice,7.6.6
devid,Device ID,string,16,44560 - LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,44560,LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,Configure admin accprofile as super_admin,Event,system,Notice,7.6.6
level,Log Level,string,11,44560 - LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,44560,LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,Configure admin accprofile as super_admin,Event,system,Notice,7.6.6
subtype,Log Subtype,string,20,44560 - LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,44560,LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,Configure admin accprofile as super_admin,Event,system,Notice,7.6.6
type,Log Type,string,16,44560 - LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,44560,LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,Configure admin accprofile as super_admin,Event,system,Notice,7.6.6
logid,Log ID,string,10,44560 - LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,44560,LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,Configure admin accprofile as super_admin,Event,system,Notice,7.6.6
time,Time,string,8,44560 - LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,44560,LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,Configure admin accprofile as super_admin,Event,system,Notice,7.6.6
date,Date,string,10,44560 - LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,44560,LOGID_EVENT_CONFIG_ACCPROFILE_SUPER_ADMIN,Configure admin accprofile as super_admin,Event,system,Notice,7.6.6
