Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,38033 - LOG_ID_FSSO_SVR_STATUS,38033,LOG_ID_FSSO_SVR_STATUS,FSSO Active Directory server authentication status,Event,user,Notice,7.2.7
time,Time,string,8,38033 - LOG_ID_FSSO_SVR_STATUS,38033,LOG_ID_FSSO_SVR_STATUS,FSSO Active Directory server authentication status,Event,user,Notice,7.2.7
logid,Log ID,string,10,38033 - LOG_ID_FSSO_SVR_STATUS,38033,LOG_ID_FSSO_SVR_STATUS,FSSO Active Directory server authentication status,Event,user,Notice,7.2.7
type,Log Type,string,16,38033 - LOG_ID_FSSO_SVR_STATUS,38033,LOG_ID_FSSO_SVR_STATUS,FSSO Active Directory server authentication status,Event,user,Notice,7.2.7
subtype,Log Subtype,string,20,38033 - LOG_ID_FSSO_SVR_STATUS,38033,LOG_ID_FSSO_SVR_STATUS,FSSO Active Directory server authentication status,Event,user,Notice,7.2.7
level,Log Level,string,11,38033 - LOG_ID_FSSO_SVR_STATUS,38033,LOG_ID_FSSO_SVR_STATUS,FSSO Active Directory server authentication status,Event,user,Notice,7.2.7
devid,Device ID,string,16,38033 - LOG_ID_FSSO_SVR_STATUS,38033,LOG_ID_FSSO_SVR_STATUS,FSSO Active Directory server authentication status,Event,user,Notice,7.2.7
vd,Virtual Domain Name,string,32,38033 - LOG_ID_FSSO_SVR_STATUS,38033,LOG_ID_FSSO_SVR_STATUS,FSSO Active Directory server authentication status,Event,user,Notice,7.2.7
eventtime,Event time,uint64,20,38033 - LOG_ID_FSSO_SVR_STATUS,38033,LOG_ID_FSSO_SVR_STATUS,FSSO Active Directory server authentication status,Event,user,Notice,7.2.7
tz,Time zone,string,5,38033 - LOG_ID_FSSO_SVR_STATUS,38033,LOG_ID_FSSO_SVR_STATUS,FSSO Active Directory server authentication status,Event,user,Notice,7.2.7
logdesc,Log Description,string,4096,38033 - LOG_ID_FSSO_SVR_STATUS,38033,LOG_ID_FSSO_SVR_STATUS,FSSO Active Directory server authentication status,Event,user,Notice,7.2.7
user,User name of authenticated user,string,256,38033 - LOG_ID_FSSO_SVR_STATUS,38033,LOG_ID_FSSO_SVR_STATUS,FSSO Active Directory server authentication status,Event,user,Notice,7.2.7
action,Policy Action,string,65,38033 - LOG_ID_FSSO_SVR_STATUS,38033,LOG_ID_FSSO_SVR_STATUS,FSSO Active Directory server authentication status,Event,user,Notice,7.2.7
msg,Log Message,string,4096,38033 - LOG_ID_FSSO_SVR_STATUS,38033,LOG_ID_FSSO_SVR_STATUS,FSSO Active Directory server authentication status,Event,user,Notice,7.2.7
server,AD server FQDN or IP,string,64,38033 - LOG_ID_FSSO_SVR_STATUS,38033,LOG_ID_FSSO_SVR_STATUS,FSSO Active Directory server authentication status,Event,user,Notice,7.2.7
