Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
vcluster,Virtual cluster,uint32,10,37889 - MESGID_VC_DELETE,37889,MESGID_VC_DELETE,Virtual cluster deleted,Event,ha,Notice,7.4.10
msg,Log Message,string,4096,37889 - MESGID_VC_DELETE,37889,MESGID_VC_DELETE,Virtual cluster deleted,Event,ha,Notice,7.4.10
logdesc,Log Description,string,4096,37889 - MESGID_VC_DELETE,37889,MESGID_VC_DELETE,Virtual cluster deleted,Event,ha,Notice,7.4.10
tz,Time zone,string,5,37889 - MESGID_VC_DELETE,37889,MESGID_VC_DELETE,Virtual cluster deleted,Event,ha,Notice,7.4.10
eventtime,Event time,uint64,20,37889 - MESGID_VC_DELETE,37889,MESGID_VC_DELETE,Virtual cluster deleted,Event,ha,Notice,7.4.10
vd,Virtual Domain Name,string,32,37889 - MESGID_VC_DELETE,37889,MESGID_VC_DELETE,Virtual cluster deleted,Event,ha,Notice,7.4.10
devid,Device ID,string,16,37889 - MESGID_VC_DELETE,37889,MESGID_VC_DELETE,Virtual cluster deleted,Event,ha,Notice,7.4.10
level,Log Level,string,11,37889 - MESGID_VC_DELETE,37889,MESGID_VC_DELETE,Virtual cluster deleted,Event,ha,Notice,7.4.10
subtype,Log Subtype,string,20,37889 - MESGID_VC_DELETE,37889,MESGID_VC_DELETE,Virtual cluster deleted,Event,ha,Notice,7.4.10
type,Log Type,string,16,37889 - MESGID_VC_DELETE,37889,MESGID_VC_DELETE,Virtual cluster deleted,Event,ha,Notice,7.4.10
logid,Log ID,string,10,37889 - MESGID_VC_DELETE,37889,MESGID_VC_DELETE,Virtual cluster deleted,Event,ha,Notice,7.4.10
time,Time,string,8,37889 - MESGID_VC_DELETE,37889,MESGID_VC_DELETE,Virtual cluster deleted,Event,ha,Notice,7.4.10
date,Date,string,10,37889 - MESGID_VC_DELETE,37889,MESGID_VC_DELETE,Virtual cluster deleted,Event,ha,Notice,7.4.10
