Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
ha_group,HA Group Number - can be 0 - 255,uint16,4,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.10
sn,Serial Number,string,64,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.10
vcluster,Virtual cluster,uint32,10,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.10
msg,Log Message,string,4096,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.10
logdesc,Log Description,string,4096,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.10
tz,Time zone,string,5,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.10
eventtime,Event time,uint64,20,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.10
vd,Virtual Domain Name,string,32,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.10
devid,Device ID,string,16,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.10
level,Log Level,string,11,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.10
subtype,Log Subtype,string,20,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.10
type,Log Type,string,16,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.10
logid,Log ID,string,10,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.10
time,Time,string,8,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.10
date,Date,string,10,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.10
