Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
msg,Log Message,string,4096,43037 - LOG_ID_EVENT_AUTH_IPV4_FLUSH,43037,LOG_ID_EVENT_AUTH_IPV4_FLUSH,Authentication IPv4 logon flush,Event,user,Notice,7.4.10
status,Status,string,23,43037 - LOG_ID_EVENT_AUTH_IPV4_FLUSH,43037,LOG_ID_EVENT_AUTH_IPV4_FLUSH,Authentication IPv4 logon flush,Event,user,Notice,7.4.10
action,Policy Action,string,65,43037 - LOG_ID_EVENT_AUTH_IPV4_FLUSH,43037,LOG_ID_EVENT_AUTH_IPV4_FLUSH,Authentication IPv4 logon flush,Event,user,Notice,7.4.10
logdesc,Log Description,string,4096,43037 - LOG_ID_EVENT_AUTH_IPV4_FLUSH,43037,LOG_ID_EVENT_AUTH_IPV4_FLUSH,Authentication IPv4 logon flush,Event,user,Notice,7.4.10
tz,Time zone,string,5,43037 - LOG_ID_EVENT_AUTH_IPV4_FLUSH,43037,LOG_ID_EVENT_AUTH_IPV4_FLUSH,Authentication IPv4 logon flush,Event,user,Notice,7.4.10
eventtime,Event time,uint64,20,43037 - LOG_ID_EVENT_AUTH_IPV4_FLUSH,43037,LOG_ID_EVENT_AUTH_IPV4_FLUSH,Authentication IPv4 logon flush,Event,user,Notice,7.4.10
vd,Virtual Domain Name,string,32,43037 - LOG_ID_EVENT_AUTH_IPV4_FLUSH,43037,LOG_ID_EVENT_AUTH_IPV4_FLUSH,Authentication IPv4 logon flush,Event,user,Notice,7.4.10
devid,Device ID,string,16,43037 - LOG_ID_EVENT_AUTH_IPV4_FLUSH,43037,LOG_ID_EVENT_AUTH_IPV4_FLUSH,Authentication IPv4 logon flush,Event,user,Notice,7.4.10
level,Log Level,string,11,43037 - LOG_ID_EVENT_AUTH_IPV4_FLUSH,43037,LOG_ID_EVENT_AUTH_IPV4_FLUSH,Authentication IPv4 logon flush,Event,user,Notice,7.4.10
subtype,Log Subtype,string,20,43037 - LOG_ID_EVENT_AUTH_IPV4_FLUSH,43037,LOG_ID_EVENT_AUTH_IPV4_FLUSH,Authentication IPv4 logon flush,Event,user,Notice,7.4.10
type,Log Type,string,16,43037 - LOG_ID_EVENT_AUTH_IPV4_FLUSH,43037,LOG_ID_EVENT_AUTH_IPV4_FLUSH,Authentication IPv4 logon flush,Event,user,Notice,7.4.10
logid,Log ID,string,10,43037 - LOG_ID_EVENT_AUTH_IPV4_FLUSH,43037,LOG_ID_EVENT_AUTH_IPV4_FLUSH,Authentication IPv4 logon flush,Event,user,Notice,7.4.10
time,Time,string,8,43037 - LOG_ID_EVENT_AUTH_IPV4_FLUSH,43037,LOG_ID_EVENT_AUTH_IPV4_FLUSH,Authentication IPv4 logon flush,Event,user,Notice,7.4.10
date,Date,string,10,43037 - LOG_ID_EVENT_AUTH_IPV4_FLUSH,43037,LOG_ID_EVENT_AUTH_IPV4_FLUSH,Authentication IPv4 logon flush,Event,user,Notice,7.4.10
