Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
sn,,string,64,32619 - LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,32619,LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,Revert export port to vdom,Event,switch-controller,Information,7.4.10
name,,string,128,32619 - LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,32619,LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,Revert export port to vdom,Event,switch-controller,Information,7.4.10
msg,,string,4096,32619 - LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,32619,LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,Revert export port to vdom,Event,switch-controller,Information,7.4.10
ui,,string,64,32619 - LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,32619,LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,Revert export port to vdom,Event,switch-controller,Information,7.4.10
user,,string,256,32619 - LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,32619,LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,Revert export port to vdom,Event,switch-controller,Information,7.4.10
logdesc,,string,4096,32619 - LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,32619,LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,Revert export port to vdom,Event,switch-controller,Information,7.4.10
tz,,string,5,32619 - LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,32619,LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,Revert export port to vdom,Event,switch-controller,Information,7.4.10
eventtime,,uint64,20,32619 - LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,32619,LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,Revert export port to vdom,Event,switch-controller,Information,7.4.10
vd,,string,32,32619 - LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,32619,LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,Revert export port to vdom,Event,switch-controller,Information,7.4.10
devid,,string,16,32619 - LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,32619,LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,Revert export port to vdom,Event,switch-controller,Information,7.4.10
level,,string,11,32619 - LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,32619,LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,Revert export port to vdom,Event,switch-controller,Information,7.4.10
subtype,,string,20,32619 - LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,32619,LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,Revert export port to vdom,Event,switch-controller,Information,7.4.10
type,,string,16,32619 - LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,32619,LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,Revert export port to vdom,Event,switch-controller,Information,7.4.10
logid,,string,10,32619 - LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,32619,LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,Revert export port to vdom,Event,switch-controller,Information,7.4.10
time,,string,8,32619 - LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,32619,LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,Revert export port to vdom,Event,switch-controller,Information,7.4.10
date,,string,10,32619 - LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,32619,LOG_ID_FGT_SWITCH_EXPORT_VDOM_UNDO,Revert export port to vdom,Event,switch-controller,Information,7.4.10
