Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
msg,Log Message,string,4096,22934 - LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,22934,LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,SD-WAN status information,Event,sdwan,Information,7.4.10
member,,string,512,22934 - LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,22934,LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,SD-WAN status information,Event,sdwan,Information,7.4.10
slatargetid,,uint32,10,22934 - LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,22934,LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,SD-WAN status information,Event,sdwan,Information,7.4.10
healthcheck,,string,64,22934 - LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,22934,LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,SD-WAN status information,Event,sdwan,Information,7.4.10
eventtype,,string,48,22934 - LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,22934,LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,SD-WAN status information,Event,sdwan,Information,7.4.10
logdesc,Log Description,string,4096,22934 - LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,22934,LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,SD-WAN status information,Event,sdwan,Information,7.4.10
tz,Time zone,string,5,22934 - LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,22934,LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,SD-WAN status information,Event,sdwan,Information,7.4.10
eventtime,Event time,uint64,20,22934 - LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,22934,LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,SD-WAN status information,Event,sdwan,Information,7.4.10
vd,Virtual Domain Name,string,32,22934 - LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,22934,LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,SD-WAN status information,Event,sdwan,Information,7.4.10
devid,Device ID,string,16,22934 - LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,22934,LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,SD-WAN status information,Event,sdwan,Information,7.4.10
level,Log Level,string,11,22934 - LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,22934,LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,SD-WAN status information,Event,sdwan,Information,7.4.10
subtype,Log Subtype,string,20,22934 - LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,22934,LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,SD-WAN status information,Event,sdwan,Information,7.4.10
type,Log Type,string,16,22934 - LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,22934,LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,SD-WAN status information,Event,sdwan,Information,7.4.10
logid,Log ID,string,10,22934 - LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,22934,LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,SD-WAN status information,Event,sdwan,Information,7.4.10
time,Time,string,8,22934 - LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,22934,LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,SD-WAN status information,Event,sdwan,Information,7.4.10
date,Date,string,10,22934 - LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,22934,LOG_ID_EVENT_VWL_LQTY_STATUS_INFO,SD-WAN status information,Event,sdwan,Information,7.4.10
