Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
server,Server IP Address,string,64,22957 - LOG_ID_SANDBOX_CLOUD_ERRCON,22957,LOG_ID_SANDBOX_CLOUD_ERRCON,FortiSandbox Cloud server connection failed,Event,system,Notice,7.6.2
msg,Log Message,string,4096,22957 - LOG_ID_SANDBOX_CLOUD_ERRCON,22957,LOG_ID_SANDBOX_CLOUD_ERRCON,FortiSandbox Cloud server connection failed,Event,system,Notice,7.6.2
action,Policy Action,string,65,22957 - LOG_ID_SANDBOX_CLOUD_ERRCON,22957,LOG_ID_SANDBOX_CLOUD_ERRCON,FortiSandbox Cloud server connection failed,Event,system,Notice,7.6.2
logdesc,Log Description,string,4096,22957 - LOG_ID_SANDBOX_CLOUD_ERRCON,22957,LOG_ID_SANDBOX_CLOUD_ERRCON,FortiSandbox Cloud server connection failed,Event,system,Notice,7.6.2
tz,Time zone,string,5,22957 - LOG_ID_SANDBOX_CLOUD_ERRCON,22957,LOG_ID_SANDBOX_CLOUD_ERRCON,FortiSandbox Cloud server connection failed,Event,system,Notice,7.6.2
eventtime,Event time,uint64,20,22957 - LOG_ID_SANDBOX_CLOUD_ERRCON,22957,LOG_ID_SANDBOX_CLOUD_ERRCON,FortiSandbox Cloud server connection failed,Event,system,Notice,7.6.2
vd,Virtual Domain Name,string,32,22957 - LOG_ID_SANDBOX_CLOUD_ERRCON,22957,LOG_ID_SANDBOX_CLOUD_ERRCON,FortiSandbox Cloud server connection failed,Event,system,Notice,7.6.2
devid,Device ID,string,16,22957 - LOG_ID_SANDBOX_CLOUD_ERRCON,22957,LOG_ID_SANDBOX_CLOUD_ERRCON,FortiSandbox Cloud server connection failed,Event,system,Notice,7.6.2
level,Log Level,string,11,22957 - LOG_ID_SANDBOX_CLOUD_ERRCON,22957,LOG_ID_SANDBOX_CLOUD_ERRCON,FortiSandbox Cloud server connection failed,Event,system,Notice,7.6.2
subtype,Log Subtype,string,20,22957 - LOG_ID_SANDBOX_CLOUD_ERRCON,22957,LOG_ID_SANDBOX_CLOUD_ERRCON,FortiSandbox Cloud server connection failed,Event,system,Notice,7.6.2
type,Log Type,string,16,22957 - LOG_ID_SANDBOX_CLOUD_ERRCON,22957,LOG_ID_SANDBOX_CLOUD_ERRCON,FortiSandbox Cloud server connection failed,Event,system,Notice,7.6.2
logid,Log ID,string,10,22957 - LOG_ID_SANDBOX_CLOUD_ERRCON,22957,LOG_ID_SANDBOX_CLOUD_ERRCON,FortiSandbox Cloud server connection failed,Event,system,Notice,7.6.2
time,Time,string,8,22957 - LOG_ID_SANDBOX_CLOUD_ERRCON,22957,LOG_ID_SANDBOX_CLOUD_ERRCON,FortiSandbox Cloud server connection failed,Event,system,Notice,7.6.2
date,Date,string,10,22957 - LOG_ID_SANDBOX_CLOUD_ERRCON,22957,LOG_ID_SANDBOX_CLOUD_ERRCON,FortiSandbox Cloud server connection failed,Event,system,Notice,7.6.2
