Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,,string,10,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.4.0
time,,string,8,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.4.0
logid,,string,10,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.4.0
type,,string,16,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.4.0
subtype,,string,20,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.4.0
level,,string,11,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.4.0
devid,,string,16,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.4.0
vd,,string,32,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.4.0
eventtime,,uint64,20,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.4.0
tz,,string,5,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.4.0
logdesc,,string,4096,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.4.0
user,,string,256,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.4.0
ui,,string,64,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.4.0
action,,string,65,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.4.0
msg,,string,4096,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.4.0
name,,string,128,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.4.0
sn,,string,64,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.4.0
