Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
msg,Log Message,string,4096,45126 - LOG_ID_EC_CLOUD_ENTITLEMENT_LOST,45126,LOG_ID_EC_CLOUD_ENTITLEMENT_LOST,EMS Cloud entitlement lost and connection dropped,Event,endpoint,Warning,7.6.1
logdesc,Log Description,string,4096,45126 - LOG_ID_EC_CLOUD_ENTITLEMENT_LOST,45126,LOG_ID_EC_CLOUD_ENTITLEMENT_LOST,EMS Cloud entitlement lost and connection dropped,Event,endpoint,Warning,7.6.1
tz,Time zone,string,5,45126 - LOG_ID_EC_CLOUD_ENTITLEMENT_LOST,45126,LOG_ID_EC_CLOUD_ENTITLEMENT_LOST,EMS Cloud entitlement lost and connection dropped,Event,endpoint,Warning,7.6.1
eventtime,Event time,uint64,20,45126 - LOG_ID_EC_CLOUD_ENTITLEMENT_LOST,45126,LOG_ID_EC_CLOUD_ENTITLEMENT_LOST,EMS Cloud entitlement lost and connection dropped,Event,endpoint,Warning,7.6.1
vd,Virtual Domain Name,string,32,45126 - LOG_ID_EC_CLOUD_ENTITLEMENT_LOST,45126,LOG_ID_EC_CLOUD_ENTITLEMENT_LOST,EMS Cloud entitlement lost and connection dropped,Event,endpoint,Warning,7.6.1
devid,Device ID,string,16,45126 - LOG_ID_EC_CLOUD_ENTITLEMENT_LOST,45126,LOG_ID_EC_CLOUD_ENTITLEMENT_LOST,EMS Cloud entitlement lost and connection dropped,Event,endpoint,Warning,7.6.1
level,Log Level,string,11,45126 - LOG_ID_EC_CLOUD_ENTITLEMENT_LOST,45126,LOG_ID_EC_CLOUD_ENTITLEMENT_LOST,EMS Cloud entitlement lost and connection dropped,Event,endpoint,Warning,7.6.1
subtype,Log Subtype,string,20,45126 - LOG_ID_EC_CLOUD_ENTITLEMENT_LOST,45126,LOG_ID_EC_CLOUD_ENTITLEMENT_LOST,EMS Cloud entitlement lost and connection dropped,Event,endpoint,Warning,7.6.1
type,Log Type,string,16,45126 - LOG_ID_EC_CLOUD_ENTITLEMENT_LOST,45126,LOG_ID_EC_CLOUD_ENTITLEMENT_LOST,EMS Cloud entitlement lost and connection dropped,Event,endpoint,Warning,7.6.1
logid,Log ID,string,10,45126 - LOG_ID_EC_CLOUD_ENTITLEMENT_LOST,45126,LOG_ID_EC_CLOUD_ENTITLEMENT_LOST,EMS Cloud entitlement lost and connection dropped,Event,endpoint,Warning,7.6.1
time,Time,string,8,45126 - LOG_ID_EC_CLOUD_ENTITLEMENT_LOST,45126,LOG_ID_EC_CLOUD_ENTITLEMENT_LOST,EMS Cloud entitlement lost and connection dropped,Event,endpoint,Warning,7.6.1
date,Date,string,10,45126 - LOG_ID_EC_CLOUD_ENTITLEMENT_LOST,45126,LOG_ID_EC_CLOUD_ENTITLEMENT_LOST,EMS Cloud entitlement lost and connection dropped,Event,endpoint,Warning,7.6.1
