Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
cfgattr,,string,4096,32696 - LOG_ID_FGT_SWITCH_GROUP_STP,32696,LOG_ID_FGT_SWITCH_GROUP_STP,FortiSwitch spanning Tree,Event,switch-controller,Critical,7.6.5
cfgobj,,string,256,32696 - LOG_ID_FGT_SWITCH_GROUP_STP,32696,LOG_ID_FGT_SWITCH_GROUP_STP,FortiSwitch spanning Tree,Event,switch-controller,Critical,7.6.5
cfgpath,,string,128,32696 - LOG_ID_FGT_SWITCH_GROUP_STP,32696,LOG_ID_FGT_SWITCH_GROUP_STP,FortiSwitch spanning Tree,Event,switch-controller,Critical,7.6.5
cfgtid,,uint32,10,32696 - LOG_ID_FGT_SWITCH_GROUP_STP,32696,LOG_ID_FGT_SWITCH_GROUP_STP,FortiSwitch spanning Tree,Event,switch-controller,Critical,7.6.5
sn,,string,64,32696 - LOG_ID_FGT_SWITCH_GROUP_STP,32696,LOG_ID_FGT_SWITCH_GROUP_STP,FortiSwitch spanning Tree,Event,switch-controller,Critical,7.6.5
name,,string,128,32696 - LOG_ID_FGT_SWITCH_GROUP_STP,32696,LOG_ID_FGT_SWITCH_GROUP_STP,FortiSwitch spanning Tree,Event,switch-controller,Critical,7.6.5
msg,,string,4096,32696 - LOG_ID_FGT_SWITCH_GROUP_STP,32696,LOG_ID_FGT_SWITCH_GROUP_STP,FortiSwitch spanning Tree,Event,switch-controller,Critical,7.6.5
ui,,string,64,32696 - LOG_ID_FGT_SWITCH_GROUP_STP,32696,LOG_ID_FGT_SWITCH_GROUP_STP,FortiSwitch spanning Tree,Event,switch-controller,Critical,7.6.5
user,,string,256,32696 - LOG_ID_FGT_SWITCH_GROUP_STP,32696,LOG_ID_FGT_SWITCH_GROUP_STP,FortiSwitch spanning Tree,Event,switch-controller,Critical,7.6.5
logdesc,,string,4096,32696 - LOG_ID_FGT_SWITCH_GROUP_STP,32696,LOG_ID_FGT_SWITCH_GROUP_STP,FortiSwitch spanning Tree,Event,switch-controller,Critical,7.6.5
tz,,string,5,32696 - LOG_ID_FGT_SWITCH_GROUP_STP,32696,LOG_ID_FGT_SWITCH_GROUP_STP,FortiSwitch spanning Tree,Event,switch-controller,Critical,7.6.5
eventtime,,uint64,20,32696 - LOG_ID_FGT_SWITCH_GROUP_STP,32696,LOG_ID_FGT_SWITCH_GROUP_STP,FortiSwitch spanning Tree,Event,switch-controller,Critical,7.6.5
vd,,string,32,32696 - LOG_ID_FGT_SWITCH_GROUP_STP,32696,LOG_ID_FGT_SWITCH_GROUP_STP,FortiSwitch spanning Tree,Event,switch-controller,Critical,7.6.5
devid,,string,16,32696 - LOG_ID_FGT_SWITCH_GROUP_STP,32696,LOG_ID_FGT_SWITCH_GROUP_STP,FortiSwitch spanning Tree,Event,switch-controller,Critical,7.6.5
level,,string,11,32696 - LOG_ID_FGT_SWITCH_GROUP_STP,32696,LOG_ID_FGT_SWITCH_GROUP_STP,FortiSwitch spanning Tree,Event,switch-controller,Critical,7.6.5
subtype,,string,20,32696 - LOG_ID_FGT_SWITCH_GROUP_STP,32696,LOG_ID_FGT_SWITCH_GROUP_STP,FortiSwitch spanning Tree,Event,switch-controller,Critical,7.6.5
type,,string,16,32696 - LOG_ID_FGT_SWITCH_GROUP_STP,32696,LOG_ID_FGT_SWITCH_GROUP_STP,FortiSwitch spanning Tree,Event,switch-controller,Critical,7.6.5
logid,,string,10,32696 - LOG_ID_FGT_SWITCH_GROUP_STP,32696,LOG_ID_FGT_SWITCH_GROUP_STP,FortiSwitch spanning Tree,Event,switch-controller,Critical,7.6.5
time,,string,8,32696 - LOG_ID_FGT_SWITCH_GROUP_STP,32696,LOG_ID_FGT_SWITCH_GROUP_STP,FortiSwitch spanning Tree,Event,switch-controller,Critical,7.6.5
date,,string,10,32696 - LOG_ID_FGT_SWITCH_GROUP_STP,32696,LOG_ID_FGT_SWITCH_GROUP_STP,FortiSwitch spanning Tree,Event,switch-controller,Critical,7.6.5
