Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
processtime,Process time for reports,uint32,10,20025 - LOG_ID_REPORTD_REPORT_SUCCESS,20025,LOG_ID_REPORTD_REPORT_SUCCESS,Report generated successfully,Event,system,Notice,7.4.6
reporttype,Report Type,string,20,20025 - LOG_ID_REPORTD_REPORT_SUCCESS,20025,LOG_ID_REPORTD_REPORT_SUCCESS,Report generated successfully,Event,system,Notice,7.4.6
datarange,Data range for reports,string,50,20025 - LOG_ID_REPORTD_REPORT_SUCCESS,20025,LOG_ID_REPORTD_REPORT_SUCCESS,Report generated successfully,Event,system,Notice,7.4.6
filesize,Report File Size in Bytes,uint32,10,20025 - LOG_ID_REPORTD_REPORT_SUCCESS,20025,LOG_ID_REPORTD_REPORT_SUCCESS,Report generated successfully,Event,system,Notice,7.4.6
file,Report file full path,string,256,20025 - LOG_ID_REPORTD_REPORT_SUCCESS,20025,LOG_ID_REPORTD_REPORT_SUCCESS,Report generated successfully,Event,system,Notice,7.4.6
msg,Log Message,string,4096,20025 - LOG_ID_REPORTD_REPORT_SUCCESS,20025,LOG_ID_REPORTD_REPORT_SUCCESS,Report generated successfully,Event,system,Notice,7.4.6
logdesc,Log Description,string,4096,20025 - LOG_ID_REPORTD_REPORT_SUCCESS,20025,LOG_ID_REPORTD_REPORT_SUCCESS,Report generated successfully,Event,system,Notice,7.4.6
tz,Time zone,string,5,20025 - LOG_ID_REPORTD_REPORT_SUCCESS,20025,LOG_ID_REPORTD_REPORT_SUCCESS,Report generated successfully,Event,system,Notice,7.4.6
eventtime,Event time,uint64,20,20025 - LOG_ID_REPORTD_REPORT_SUCCESS,20025,LOG_ID_REPORTD_REPORT_SUCCESS,Report generated successfully,Event,system,Notice,7.4.6
vd,Virtual Domain Name,string,32,20025 - LOG_ID_REPORTD_REPORT_SUCCESS,20025,LOG_ID_REPORTD_REPORT_SUCCESS,Report generated successfully,Event,system,Notice,7.4.6
devid,Device ID,string,16,20025 - LOG_ID_REPORTD_REPORT_SUCCESS,20025,LOG_ID_REPORTD_REPORT_SUCCESS,Report generated successfully,Event,system,Notice,7.4.6
level,Log Level,string,11,20025 - LOG_ID_REPORTD_REPORT_SUCCESS,20025,LOG_ID_REPORTD_REPORT_SUCCESS,Report generated successfully,Event,system,Notice,7.4.6
subtype,Log Subtype,string,20,20025 - LOG_ID_REPORTD_REPORT_SUCCESS,20025,LOG_ID_REPORTD_REPORT_SUCCESS,Report generated successfully,Event,system,Notice,7.4.6
type,Log Type,string,16,20025 - LOG_ID_REPORTD_REPORT_SUCCESS,20025,LOG_ID_REPORTD_REPORT_SUCCESS,Report generated successfully,Event,system,Notice,7.4.6
logid,Log ID,string,10,20025 - LOG_ID_REPORTD_REPORT_SUCCESS,20025,LOG_ID_REPORTD_REPORT_SUCCESS,Report generated successfully,Event,system,Notice,7.4.6
time,Time,string,8,20025 - LOG_ID_REPORTD_REPORT_SUCCESS,20025,LOG_ID_REPORTD_REPORT_SUCCESS,Report generated successfully,Event,system,Notice,7.4.6
date,Date,string,10,20025 - LOG_ID_REPORTD_REPORT_SUCCESS,20025,LOG_ID_REPORTD_REPORT_SUCCESS,Report generated successfully,Event,system,Notice,7.4.6
