Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
age,Time in seconds - time passed since last seen,uint32,10,43548 - LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,43548,LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,Wireless Asleap attack detected,Event,wireless,Notice,7.2.4
sndetected,SN of the AP which detected the rogue AP,string,36,43548 - LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,43548,LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,Wireless Asleap attack detected,Event,wireless,Notice,7.2.4
radioiddetected,The radio ID on the AP which detected the rogue ap,uint8,3,43548 - LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,43548,LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,Wireless Asleap attack detected,Event,wireless,Notice,7.2.4
threattype,WIDS threat type,string,64,43548 - LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,43548,LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,Wireless Asleap attack detected,Event,wireless,Notice,7.2.4
rssi,The value of Received signal strength indicator,uint8,3,43548 - LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,43548,LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,Wireless Asleap attack detected,Event,wireless,Notice,7.2.4
frametype,Frame Type,string,32,43548 - LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,43548,LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,Wireless Asleap attack detected,Event,wireless,Notice,7.2.4
ds,Direction with distribution system,string,8,43548 - LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,43548,LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,Wireless Asleap attack detected,Event,wireless,Notice,7.2.4
seq,Sequence,string,512,43548 - LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,43548,LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,Wireless Asleap attack detected,Event,wireless,Notice,7.2.4
encrypt,The packet is encrypted or not,uint8,3,43548 - LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,43548,LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,Wireless Asleap attack detected,Event,wireless,Notice,7.2.4
tamac,"The MAC address of Transmitter. If none, then Receiver",string,17,43548 - LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,43548,LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,Wireless Asleap attack detected,Event,wireless,Notice,7.2.4
