Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,,string,10,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.4
time,,string,8,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.4
logid,,string,10,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.4
type,,string,16,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.4
subtype,,string,20,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.4
level,,string,11,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.4
devid,,string,16,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.4
vd,,string,32,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.4
eventtime,,uint64,20,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.4
tz,,string,5,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.4
logdesc,,string,4096,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.4
user,,string,256,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.4
ui,,string,64,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.4
msg,,string,4096,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.4
sn,,string,64,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.4
name,,string,128,22897 - LOG_ID_FORTILINKD_SPLIT_PORT_INFO,22897,LOG_ID_FORTILINKD_SPLIT_PORT_INFO,Switch-controller split-port related configuration change detected,Event,switch-controller,Information,7.2.4
