Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,53300 - LOG_ID_VNE_PRO_UPDATE_COMPLETED,53300,LOG_ID_VNE_PRO_UPDATE_COMPLETED,VNE provision server update completed,Event,system,Information,7.2.4
time,Time,string,8,53300 - LOG_ID_VNE_PRO_UPDATE_COMPLETED,53300,LOG_ID_VNE_PRO_UPDATE_COMPLETED,VNE provision server update completed,Event,system,Information,7.2.4
logid,Log ID,string,10,53300 - LOG_ID_VNE_PRO_UPDATE_COMPLETED,53300,LOG_ID_VNE_PRO_UPDATE_COMPLETED,VNE provision server update completed,Event,system,Information,7.2.4
type,Log Type,string,16,53300 - LOG_ID_VNE_PRO_UPDATE_COMPLETED,53300,LOG_ID_VNE_PRO_UPDATE_COMPLETED,VNE provision server update completed,Event,system,Information,7.2.4
subtype,Log Subtype,string,20,53300 - LOG_ID_VNE_PRO_UPDATE_COMPLETED,53300,LOG_ID_VNE_PRO_UPDATE_COMPLETED,VNE provision server update completed,Event,system,Information,7.2.4
level,Log Level,string,11,53300 - LOG_ID_VNE_PRO_UPDATE_COMPLETED,53300,LOG_ID_VNE_PRO_UPDATE_COMPLETED,VNE provision server update completed,Event,system,Information,7.2.4
devid,Device ID,string,16,53300 - LOG_ID_VNE_PRO_UPDATE_COMPLETED,53300,LOG_ID_VNE_PRO_UPDATE_COMPLETED,VNE provision server update completed,Event,system,Information,7.2.4
vd,Virtual Domain Name,string,32,53300 - LOG_ID_VNE_PRO_UPDATE_COMPLETED,53300,LOG_ID_VNE_PRO_UPDATE_COMPLETED,VNE provision server update completed,Event,system,Information,7.2.4
eventtime,Event time,uint64,20,53300 - LOG_ID_VNE_PRO_UPDATE_COMPLETED,53300,LOG_ID_VNE_PRO_UPDATE_COMPLETED,VNE provision server update completed,Event,system,Information,7.2.4
tz,Time zone,string,5,53300 - LOG_ID_VNE_PRO_UPDATE_COMPLETED,53300,LOG_ID_VNE_PRO_UPDATE_COMPLETED,VNE provision server update completed,Event,system,Information,7.2.4
logdesc,Log Description,string,4096,53300 - LOG_ID_VNE_PRO_UPDATE_COMPLETED,53300,LOG_ID_VNE_PRO_UPDATE_COMPLETED,VNE provision server update completed,Event,system,Information,7.2.4
msg,Log Message,string,4096,53300 - LOG_ID_VNE_PRO_UPDATE_COMPLETED,53300,LOG_ID_VNE_PRO_UPDATE_COMPLETED,VNE provision server update completed,Event,system,Information,7.2.4
server,Server IP Address,string,64,53300 - LOG_ID_VNE_PRO_UPDATE_COMPLETED,53300,LOG_ID_VNE_PRO_UPDATE_COMPLETED,VNE provision server update completed,Event,system,Information,7.2.4
hostname,Hostname,string,128,53300 - LOG_ID_VNE_PRO_UPDATE_COMPLETED,53300,LOG_ID_VNE_PRO_UPDATE_COMPLETED,VNE provision server update completed,Event,system,Information,7.2.4
